FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 01:56:42:939.415,7002939.415,39.524,0,0,1,no,-12,4,ON
1, 01:56:42:978.707,7002978.707,39.292,0,0,2,no,-11,5,ON
2, 01:56:43:18.436,7003018.436,39.729,0,0,3,no,-11,5,ON
3, 01:56:43:57.903,7003057.903,39.467,0,0,4,no,-11,5,ON
4, 01:56:43:97.452,7003097.452,39.549,0,0,5,no,-11,4,ON
5, 01:56:43:137.214,7003137.214,39.761,0,0,6,no,-12,4,ON
6, 01:56:43:176.313,7003176.313,39.099,0,0,7,no,-12,4,ON
7, 01:56:43:216.454,7003216.454,40.141,0,0,8,no,-12,4,ON
8, 01:56:43:255.094,7003255.094,38.640,0,0,9,no,-12,4,ON
9, 01:56:43:294.843,7003294.843,39.748,0,0,10,no,-12,4,ON
10, 01:56:43:334.734,7003334.734,39.892,0,0,11,no,-12,3,ON
11, 01:56:43:373.477,7003373.477,38.743,0,0,12,no,-12,4,ON
12, 01:56:43:414.580,7003414.580,41.103,0,0,13,no,-11,5,ON
13, 01:56:43:452.968,7003452.968,38.388,0,0,14,no,-11,5,ON
14, 01:56:43:492.183,7003492.183,39.215,0,0,15,no,-11,5,ON
15, 01:56:43:532.245,7003532.245,40.062,0,0,16,no,-11,4,ON
16, 01:56:43:571.059,7003571.059,38.814,0,0,17,no,-12,4,ON
17, 01:56:43:611.003,7003611.003,39.943,0,0,18,no,-12,4,ON
18, 01:56:43:650.091,7003650.091,39.089,0,0,19,no,-12,4,ON
19, 01:56:43:689.797,7003689.797,39.706,0,0,20,no,-13,4,ON
20, 01:56:43:729.499,7003729.499,39.702,0,0,21,no,-13,4,ON
21, 01:56:43:768.571,7003768.571,39.072,0,0,22,no,-13,3,ON
22, 01:56:43:808.012,7003808.012,39.441,0,0,23,no,-12,4,ON
23, 01:56:43:847.809,7003847.809,39.797,0,0,24,no,-11,5,ON
24, 01:56:43:887.044,7003887.044,39.235,0,0,25,no,-11,5,ON
25, 01:56:43:927.137,7003927.137,40.093,0,0,26,no,-11,5,ON
26, 01:56:43:965.710,7003965.710,38.573,0,0,27,no,-12,4,ON
27, 01:56:44:5.346,7004005.346,39.636,0,0,28,no,-12,4,ON
28, 01:56:44:44.832,7004044.832,39.486,0,0,29,no,-12,4,ON
29, 01:56:44:85.252,7004085.252,40.419,0,0,30,no,-12,4,ON
30, 01:56:44:124.053,7004124.053,38.802,0,0,31,no,-12,4,ON
31, 01:56:44:164.032,7004164.032,39.979,0,0,32,no,-12,3,ON
32, 01:56:44:203.047,7004203.047,39.015,0,0,33,no,-12,3,ON
33, 01:56:44:242.524,7004242.524,39.476,0,0,34,no,-11,5,ON
34, 01:56:44:281.680,7004281.680,39.157,0,0,35,no,-10,5,ON
35, 01:56:44:322.455,7004322.455,40.774,0,0,36,no,-10,5,ON
36, 01:56:44:362.587,7004362.587,40.132,0,0,37,no,-11,5,ON
37, 01:56:44:401.304,7004401.304,38.718,0,0,38,no,-11,4,ON
38, 01:56:44:440.137,7004440.137,38.833,0,0,39,no,-12,4,ON
39, 01:56:44:479.676,7004479.676,39.539,0,0,40,no,-11,4,ON
40, 01:56:44:519.009,7004519.009,39.333,0,0,41,no,-12,4,ON
41, 01:56:44:558.332,7004558.332,39.323,0,0,42,no,-12,5,ON
42, 01:56:44:598.317,7004598.317,39.985,0,0,43,no,-12,6,ON
43, 01:56:44:637.490,7004637.490,39.172,0,0,44,no,-11,6,ON
44, 01:56:44:676.811,7004676.811,39.321,0,0,45,no,-10,8,ON
45, 01:56:44:716.360,7004716.360,39.550,0,0,46,no,-9,8,ON
46, 01:56:44:756.545,7004756.545,40.185,0,0,47,no,-9,9,ON
47, 01:56:44:795.375,7004795.375,38.829,0,0,48,no,-10,9,ON
48, 01:56:44:835.016,7004835.016,39.641,0,0,49,no,-10,9,ON
49, 01:56:44:874.673,7004874.673,39.657,0,0,50,no,-10,9,ON
50, 01:56:44:913.902,7004913.902,39.229,0,0,51,no,-10,10,ON
51, 01:56:44:953.806,7004953.806,39.903,0,0,52,no,-10,11,ON
52, 01:56:44:993.559,7004993.559,39.754,0,0,53,no,-10,11,ON
53, 01:56:45:32.682,7005032.682,39.122,0,0,54,no,-11,12,ON
54, 01:56:45:71.951,7005071.951,39.269,0,0,55,no,-10,12,ON
55, 01:56:45:111.808,7005111.808,39.857,0,0,56,no,-9,15,ON
56, 01:56:45:150.869,7005150.869,39.061,0,0,57,no,-8,16,ON
57, 01:56:45:190.472,7005190.472,39.603,0,0,58,no,-8,16,ON
58, 01:56:45:229.739,7005229.739,39.267,0,0,59,no,-9,16,ON
59, 01:56:45:269.530,7005269.530,39.791,0,0,60,no,-9,16,ON
60, 01:56:45:309.641,7005309.641,40.111,0,0,61,no,-9,16,ON
61, 01:56:45:348.358,7005348.358,38.717,0,0,62,no,-9,14,ON
62, 01:56:45:387.725,7005387.725,39.367,0,0,63,no,-10,12,ON
63, 01:56:45:427.818,7005427.818,40.093,0,0,64,no,-10,11,ON
64, 01:56:45:467.173,7005467.173,39.355,0,0,65,no,-11,10,ON
65, 01:56:45:506.798,7005506.798,39.626,0,0,66,no,-10,10,ON
66, 01:56:45:546.659,7005546.659,39.860,0,0,67,no,-9,10,ON
67, 01:56:45:585.786,7005585.786,39.127,0,0,68,no,-9,10,ON
68, 01:56:45:625.467,7005625.467,39.681,0,0,69,no,-9,9,ON
69, 01:56:45:664.321,7005664.321,38.855,0,0,70,no,-10,8,ON
70, 01:56:45:703.940,7005703.940,39.619,0,0,71,no,-10,7,ON
71, 01:56:45:743.153,7005743.153,39.213,0,0,72,no,-11,7,ON
72, 01:56:45:782.781,7005782.781,39.628,0,0,73,no,-12,6,ON
