FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 01:24:49:207.223,5089207.223,39.440,0,0,1,no,1,0,ON
1, 01:24:49:246.771,5089246.771,39.548,0,0,2,no,1,0,ON
2, 01:24:49:286.347,5089286.347,39.576,0,0,3,no,1,0,ON
3, 01:24:49:325.736,5089325.736,39.389,0,0,4,no,0,0,ON
4, 01:24:49:365.029,5089365.029,39.293,0,0,5,no,1,0,ON
5, 01:24:49:404.980,5089404.980,39.952,0,0,6,no,3,2,ON
6, 01:24:49:445.291,5089445.291,40.310,0,0,7,no,4,2,ON
7, 01:24:49:483.937,5089483.937,38.647,0,0,8,no,3,2,ON
8, 01:24:49:522.551,5089522.551,38.614,0,0,9,no,3,1,ON
9, 01:24:49:563.257,5089563.257,40.706,0,0,10,no,2,0,ON
10, 01:24:49:601.691,5089601.691,38.433,0,0,11,no,1,0,ON
11, 01:24:49:642.207,5089642.207,40.516,0,0,12,no,1,0,ON
12, 01:24:49:681.394,5089681.394,39.188,0,0,13,no,0,0,ON
13, 01:24:49:721.358,5089721.358,39.964,0,0,14,no,0,0,ON
14, 01:24:49:762.005,5089762.005,40.647,0,0,15,no,0,0,ON
15, 01:24:49:800.285,5089800.285,38.280,0,0,16,no,3,1,ON
16, 01:24:49:838.925,5089838.925,38.640,0,0,17,no,4,2,ON
17, 01:24:49:878.662,5089878.662,39.737,0,0,18,no,4,2,ON
18, 01:24:49:918.087,5089918.087,39.425,0,0,19,no,3,1,ON
19, 01:24:49:957.546,5089957.546,39.459,0,0,20,no,1,0,ON
20, 01:24:49:999.053,5089999.053,41.507,0,0,21,no,1,0,ON
21, 01:24:50:36.581,5090036.581,37.529,0,0,22,no,1,0,ON
22, 01:24:50:75.725,5090075.725,39.144,0,0,23,no,0,0,ON
23, 01:24:50:115.445,5090115.445,39.720,0,0,24,no,0,0,ON
24, 01:24:50:155.251,5090155.251,39.806,0,0,25,no,0,0,ON
25, 01:24:50:194.370,5090194.370,39.119,0,0,26,no,2,0,ON
