FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 01:46:27:304.579,6387304.579,39.484,0,0,1,no,-4,2,ON
1, 01:46:27:344.251,6387344.251,39.673,0,0,2,no,-4,2,ON
2, 01:46:27:383.482,6387383.482,39.230,0,0,3,no,-4,2,ON
3, 01:46:27:422.847,6387422.847,39.365,0,0,4,no,-3,3,ON
4, 01:46:27:462.289,6387462.289,39.442,0,0,5,no,-2,4,ON
5, 01:46:27:501.755,6387501.755,39.466,0,0,6,no,-2,4,ON
6, 01:46:27:541.979,6387541.979,40.224,0,0,7,no,-3,4,ON
7, 01:46:27:581.122,6387581.122,39.143,0,0,8,no,-3,3,ON
8, 01:46:27:621.032,6387621.032,39.910,0,0,9,no,-4,2,ON
9, 01:46:27:660.059,6387660.059,39.027,0,0,10,no,-4,2,ON
10, 01:46:27:700.169,6387700.169,40.111,0,0,11,no,-4,2,ON
11, 01:46:27:739.106,6387739.106,38.937,0,0,12,no,-4,2,ON
12, 01:46:27:778.786,6387778.786,39.680,0,0,13,no,-5,2,ON
13, 01:46:27:817.992,6387817.992,39.205,0,0,14,no,-5,2,ON
14, 01:46:27:857.554,6387857.554,39.563,0,0,15,no,-5,2,ON
15, 01:46:27:898.044,6387898.044,40.490,0,0,16,no,-3,3,ON
16, 01:46:27:936.571,6387936.571,38.527,0,0,17,no,-2,4,ON
17, 01:46:27:975.861,6387975.861,39.290,0,0,18,no,-2,4,ON
18, 01:46:28:15.767,6388015.767,39.905,0,0,19,no,-3,3,ON
19, 01:46:28:55.028,6388055.028,39.261,0,0,20,no,-3,2,ON
20, 01:46:28:94.892,6388094.892,39.864,0,0,21,no,-4,2,ON
21, 01:46:28:133.957,6388133.957,39.064,0,0,22,no,-4,2,ON
22, 01:46:28:173.476,6388173.476,39.519,0,0,23,no,-4,2,ON
23, 01:46:28:212.887,6388212.887,39.411,0,0,24,no,-5,2,ON
24, 01:46:28:252.896,6388252.896,40.010,0,0,25,no,-5,2,ON
25, 01:46:28:291.915,6388291.915,39.018,0,0,26,no,-5,2,ON
26, 01:46:28:331.240,6388331.240,39.325,0,0,27,no,-5,2,ON
27, 01:46:28:370.859,6388370.859,39.619,0,0,28,no,-3,3,ON
28, 01:46:28:410.498,6388410.498,39.639,0,0,29,no,-2,4,ON
29, 01:46:28:450.046,6388450.046,39.548,0,0,30,no,-3,3,ON
30, 01:46:28:489.496,6388489.496,39.450,0,0,31,no,-3,3,ON
31, 01:46:28:529.106,6388529.106,39.610,0,0,32,no,-4,2,ON
32, 01:46:28:569.035,6388569.035,39.929,0,0,33,no,-4,2,ON
33, 01:46:28:608.701,6388608.701,39.666,0,0,34,no,-4,3,ON
34, 01:46:28:647.282,6388647.282,38.581,0,0,35,no,-4,3,ON
