FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 01:53:08:234.562,6788234.562,39.140,0,0,1,no,-2,2,ON
1, 01:53:08:273.917,6788273.917,39.354,0,0,2,no,-2,2,ON
2, 01:53:08:314.282,6788314.282,40.365,0,0,3,no,-2,2,ON
3, 01:53:08:353.055,6788353.055,38.773,0,0,4,no,-2,2,ON
4, 01:53:08:392.380,6788392.380,39.325,0,0,5,no,-3,2,ON
5, 01:53:08:432.297,6788432.297,39.917,0,0,6,no,-3,2,ON
6, 01:53:08:471.517,6788471.517,39.219,0,0,7,no,-1,3,ON
7, 01:53:08:510.958,6788510.958,39.441,0,0,8,no,-1,3,ON
8, 01:53:08:550.499,6788550.499,39.541,0,0,9,no,-1,2,ON
9, 01:53:08:589.861,6788589.861,39.362,0,0,10,no,-1,2,ON
10, 01:53:08:629.320,6788629.320,39.459,0,0,11,no,-2,2,ON
11, 01:53:08:669.193,6788669.193,39.872,0,0,12,no,-2,2,ON
12, 01:53:08:710.645,6788710.645,41.453,0,0,13,no,-2,2,ON
13, 01:53:08:748.420,6788748.420,37.774,0,0,14,no,-2,2,ON
14, 01:53:08:787.450,6788787.450,39.030,0,0,15,no,-2,2,ON
15, 01:53:08:827.045,6788827.045,39.595,0,0,16,no,-2,2,ON
16, 01:53:08:867.271,6788867.271,40.227,0,0,17,no,-2,2,ON
17, 01:53:08:906.117,6788906.117,38.846,0,0,18,no,-1,3,ON
18, 01:53:08:945.729,6788945.729,39.612,0,0,19,no,-1,3,ON
19, 01:53:08:985.868,6788985.868,40.139,0,0,20,no,-1,3,ON
20, 01:53:09:25.227,6789025.227,39.359,0,0,21,no,-1,2,ON
21, 01:53:09:64.197,6789064.197,38.970,0,0,22,no,-1,2,ON
22, 01:53:09:103.531,6789103.531,39.334,0,0,23,no,-1,1,ON
23, 01:53:09:142.885,6789142.885,39.355,0,0,24,no,-1,2,ON
24, 01:53:09:182.786,6789182.786,39.901,0,0,25,no,-2,2,ON
25, 01:53:09:223.305,6789223.305,40.520,0,0,26,no,-2,2,ON
26, 01:53:09:261.257,6789261.257,37.952,0,0,27,no,-2,1,ON
27, 01:53:09:300.576,6789300.576,39.319,0,0,28,no,-1,2,ON
28, 01:53:09:340.368,6789340.368,39.792,0,0,29,no,0,2,ON
29, 01:53:09:379.611,6789379.611,39.243,0,0,30,no,0,2,ON
30, 01:53:09:419.250,6789419.250,39.638,0,0,31,no,0,2,ON
31, 01:53:09:459.163,6789459.163,39.913,0,0,32,no,-1,2,ON
32, 01:53:09:498.614,6789498.614,39.451,0,0,33,no,-1,1,ON
33, 01:53:09:537.908,6789537.908,39.294,0,0,34,no,-1,1,ON
34, 01:53:09:577.880,6789577.880,39.972,0,0,35,no,-1,1,ON
35, 01:53:09:617.319,6789617.319,39.439,0,0,36,no,-2,1,ON
36, 01:53:09:656.534,6789656.534,39.215,0,0,37,no,-2,1,ON
37, 01:53:09:695.970,6789695.970,39.436,0,0,38,no,-2,1,ON
38, 01:53:09:736.551,6789736.551,40.581,0,0,39,no,-1,2,ON
39, 01:53:09:775.018,6789775.018,38.467,0,0,40,no,0,2,ON
40, 01:53:09:814.956,6789814.956,39.938,0,0,41,no,0,2,ON
41, 01:53:09:853.897,6789853.897,38.942,0,0,42,no,-1,2,ON
42, 01:53:09:893.249,6789893.249,39.351,0,0,43,no,-1,2,ON
43, 01:53:09:932.789,6789932.789,39.541,0,0,44,no,-1,1,ON
44, 01:53:09:973.283,6789973.283,40.494,0,0,45,no,-1,1,ON
45, 01:53:10:12.306,6790012.306,39.023,0,0,46,no,-2,1,ON
46, 01:53:10:51.467,6790051.467,39.161,0,0,47,no,-2,1,ON
47, 01:53:10:91.267,6790091.267,39.800,0,0,48,no,-2,2,ON
48, 01:53:10:131.155,6790131.155,39.889,0,0,49,no,-2,2,ON
49, 01:53:10:169.622,6790169.622,38.467,0,0,50,no,-1,4,ON
50, 01:53:10:209.960,6790209.960,40.338,0,0,51,no,0,4,ON
51, 01:53:10:249.000,6790249.000,39.039,0,0,52,no,0,5,ON
52, 01:53:10:288.569,6790288.569,39.569,0,0,53,no,0,5,ON
53, 01:53:10:327.584,6790327.584,39.015,0,0,54,no,-1,5,ON
54, 01:53:10:368.497,6790368.497,40.913,0,0,55,no,-1,6,ON
55, 01:53:10:407.333,6790407.333,38.835,0,0,56,no,-1,6,ON
56, 01:53:10:446.347,6790446.347,39.015,0,0,57,no,-1,7,ON
57, 01:53:10:485.695,6790485.695,39.347,0,0,58,no,-1,7,ON
58, 01:53:10:526.065,6790526.065,40.370,0,0,59,no,-1,8,ON
59, 01:53:10:564.732,6790564.732,38.667,0,0,60,no,-1,8,ON
60, 01:53:10:604.477,6790604.477,39.744,0,0,61,no,0,11,ON
61, 01:53:10:644.224,6790644.224,39.748,0,0,62,no,1,11,ON
62, 01:53:10:683.322,6790683.322,39.098,0,0,63,no,1,12,ON
63, 01:53:10:722.808,6790722.808,39.486,0,0,64,no,1,12,ON
64, 01:53:10:762.257,6790762.257,39.449,0,0,65,no,1,12,ON
65, 01:53:10:801.723,6790801.723,39.467,0,0,66,no,1,13,ON
66, 01:53:10:842.026,6790842.026,40.302,0,0,67,no,1,14,ON
67, 01:53:10:881.268,6790881.268,39.242,0,0,68,no,1,14,ON
68, 01:53:10:920.420,6790920.420,39.152,0,0,69,no,1,14,ON
69, 01:53:10:959.954,6790959.954,39.534,0,0,70,no,0,11,ON
70, 01:53:10:999.470,6790999.470,39.516,0,0,71,no,0,9,ON
71, 01:53:11:38.681,6791038.681,39.211,0,0,72,no,1,10,ON
72, 01:53:11:78.365,6791078.365,39.684,0,0,73,no,1,10,ON
73, 01:53:11:118.317,6791118.317,39.952,0,0,74,no,1,9,ON
74, 01:53:11:158.280,6791158.280,39.963,0,0,75,no,0,8,ON
75, 01:53:11:197.364,6791197.364,39.084,0,0,76,no,0,7,ON
76, 01:53:11:236.675,6791236.675,39.311,0,0,77,no,0,6,ON
77, 01:53:11:276.339,6791276.339,39.664,0,0,78,no,0,5,ON
78, 01:53:11:315.133,6791315.133,38.794,0,0,79,no,-1,5,ON
79, 01:53:11:354.638,6791354.638,39.505,0,0,80,no,-2,4,ON
