FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 01:36:10:733.278,5770733.278,39.628,0,0,1,no,-6,4,ON
1, 01:36:10:773.284,5770773.284,40.007,0,0,2,no,-5,5,ON
2, 01:36:10:812.692,5770812.692,39.408,0,0,3,no,-3,6,ON
3, 01:36:10:851.581,5770851.581,38.889,0,0,4,no,-3,6,ON
4, 01:36:10:891.972,5770891.972,40.391,0,0,5,no,-3,6,ON
5, 01:36:10:930.575,5770930.575,38.603,0,0,6,no,-4,5,ON
6, 01:36:10:970.294,5770970.294,39.719,0,0,7,no,-5,4,ON
7, 01:36:11:9.805,5771009.805,39.510,0,0,8,no,-5,4,ON
8, 01:36:11:49.896,5771049.896,40.091,0,0,9,no,-6,4,ON
9, 01:36:11:89.245,5771089.245,39.349,0,0,10,no,-6,4,ON
10, 01:36:11:128.496,5771128.496,39.250,0,0,11,no,-6,4,ON
11, 01:36:11:168.288,5771168.288,39.792,0,0,12,no,-6,4,ON
12, 01:36:11:207.470,5771207.470,39.183,0,0,13,no,-6,4,ON
13, 01:36:11:246.966,5771246.966,39.495,0,0,14,no,-4,5,ON
14, 01:36:11:287.367,5771287.367,40.401,0,0,15,no,-3,6,ON
15, 01:36:11:326.937,5771326.937,39.570,0,0,16,no,-4,6,ON
16, 01:36:11:365.867,5771365.867,38.930,0,0,17,no,-4,5,ON
17, 01:36:11:405.656,5771405.656,39.789,0,0,18,no,-5,4,ON
18, 01:36:11:444.584,5771444.584,38.928,0,0,19,no,-6,4,ON
19, 01:36:11:484.064,5771484.064,39.480,0,0,20,no,-6,4,ON
20, 01:36:11:523.108,5771523.108,39.043,0,0,21,no,-6,4,ON
21, 01:36:11:562.427,5771562.427,39.319,0,0,22,no,-7,4,ON
