FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 02:12:33:603.502,7953603.502,39.335,0,0,1,no,5,7,ON
1, 02:12:33:643.204,7953643.204,39.702,0,0,2,no,5,7,ON
2, 02:12:33:683.093,7953683.093,39.888,0,0,3,no,5,6,ON
3, 02:12:33:722.206,7953722.206,39.113,0,0,4,no,5,7,ON
4, 02:12:33:762.009,7953762.009,39.803,0,0,5,no,7,9,ON
5, 02:12:33:801.025,7953801.025,39.016,0,0,6,no,7,9,ON
6, 02:12:33:840.770,7953840.770,39.746,0,0,7,no,7,8,ON
7, 02:12:33:880.184,7953880.184,39.414,0,0,8,no,6,8,ON
8, 02:12:33:919.722,7953919.722,39.538,0,0,9,no,5,7,ON
9, 02:12:33:959.221,7953959.221,39.499,0,0,10,no,5,7,ON
10, 02:12:33:998.888,7953998.888,39.666,0,0,11,no,5,7,ON
11, 02:12:34:38.237,7954038.237,39.350,0,0,12,no,5,6,ON
12, 02:12:34:77.768,7954077.768,39.530,0,0,13,no,5,7,ON
13, 02:12:34:117.031,7954117.031,39.263,0,0,14,no,5,6,ON
14, 02:12:34:156.631,7954156.631,39.599,0,0,15,no,5,8,ON
15, 02:12:34:196.181,7954196.181,39.550,0,0,16,no,6,9,ON
16, 02:12:34:235.571,7954235.571,39.390,0,0,17,no,6,9,ON
17, 02:12:34:275.337,7954275.337,39.766,0,0,18,no,6,8,ON
18, 02:12:34:314.750,7954314.750,39.413,0,0,19,no,6,7,ON
19, 02:12:34:353.952,7954353.952,39.202,0,0,20,no,5,7,ON
20, 02:12:34:394.187,7954394.187,40.235,0,0,21,no,5,7,ON
21, 02:12:34:433.133,7954433.133,38.947,0,0,22,no,5,7,ON
22, 02:12:34:472.617,7954472.617,39.484,0,0,23,no,5,7,ON
23, 02:12:34:512.193,7954512.193,39.576,0,0,24,no,5,7,ON
24, 02:12:34:551.558,7954551.558,39.365,0,0,25,no,5,6,ON
25, 02:12:34:591.205,7954591.205,39.647,0,0,26,no,6,8,ON
26, 02:12:34:630.059,7954630.059,38.854,0,0,27,no,7,9,ON
27, 02:12:34:669.521,7954669.521,39.461,0,0,28,no,6,9,ON
28, 02:12:34:710.075,7954710.075,40.554,0,0,29,no,6,8,ON
29, 02:12:34:748.635,7954748.635,38.560,0,0,30,no,5,7,ON
30, 02:12:34:788.288,7954788.288,39.653,0,0,31,no,5,7,ON
31, 02:12:34:828.160,7954828.160,39.873,0,0,32,no,5,7,ON
32, 02:12:34:868.578,7954868.578,40.417,0,0,33,no,5,7,ON
33, 02:12:34:907.438,7954907.438,38.860,0,0,34,no,5,7,ON
34, 02:12:34:947.207,7954947.207,39.769,0,0,35,no,4,7,ON
35, 02:12:34:985.607,7954985.607,38.401,0,0,36,no,4,6,ON
36, 02:12:35:25.337,7955025.337,39.730,0,0,37,no,5,8,ON
37, 02:12:35:64.800,7955064.800,39.462,0,0,38,no,6,9,ON
38, 02:12:35:104.667,7955104.667,39.867,0,0,39,no,6,8,ON
39, 02:12:35:143.740,7955143.740,39.073,0,0,40,no,6,8,ON
40, 02:12:35:183.037,7955183.037,39.297,0,0,41,no,5,7,ON
41, 02:12:35:223.025,7955223.025,39.988,0,0,42,no,5,6,ON
42, 02:12:35:262.262,7955262.262,39.237,0,0,43,no,5,6,ON
43, 02:12:35:301.792,7955301.792,39.530,0,0,44,no,5,6,ON
44, 02:12:35:341.522,7955341.522,39.730,0,0,45,no,5,6,ON
45, 02:12:35:380.838,7955380.838,39.316,0,0,46,no,4,6,ON
46, 02:12:35:420.265,7955420.265,39.427,0,0,47,no,4,6,ON
47, 02:12:35:459.951,7955459.951,39.686,0,0,48,no,5,8,ON
48, 02:12:35:500.025,7955500.025,40.075,0,0,49,no,6,8,ON
49, 02:12:35:538.533,7955538.533,38.508,0,0,50,no,6,8,ON
50, 02:12:35:578.079,7955578.079,39.546,0,0,51,no,6,8,ON
51, 02:12:35:617.695,7955617.695,39.616,0,0,52,no,5,8,ON
52, 02:12:35:657.917,7955657.917,40.221,0,0,53,no,5,8,ON
53, 02:12:35:697.239,7955697.239,39.322,0,0,54,no,5,9,ON
54, 02:12:35:737.293,7955737.293,40.054,0,0,55,no,5,9,ON
55, 02:12:35:776.187,7955776.187,38.894,0,0,56,no,5,10,ON
56, 02:12:35:815.968,7955815.968,39.780,0,0,57,no,4,10,ON
57, 02:12:35:855.263,7955855.263,39.296,0,0,58,no,5,11,ON
58, 02:12:35:894.672,7955894.672,39.408,0,0,59,no,6,13,ON
59, 02:12:35:934.082,7955934.082,39.410,0,0,60,no,7,14,ON
60, 02:12:35:973.765,7955973.765,39.683,0,0,61,no,7,15,ON
61, 02:12:36:12.971,7956012.971,39.206,0,0,62,no,7,15,ON
62, 02:12:36:52.583,7956052.583,39.612,0,0,63,no,6,15,ON
