FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 01:51:22:857.269,6682857.269,38.918,0,0,1,no,-1,6,ON
1, 01:51:22:897.159,6682897.159,39.890,0,0,2,no,-2,6,ON
2, 01:51:22:936.196,6682936.196,39.036,0,0,3,no,-2,5,ON
3, 01:51:22:975.946,6682975.946,39.750,0,0,4,no,0,6,ON
4, 01:51:23:15.617,6683015.617,39.671,0,0,5,no,1,7,ON
5, 01:51:23:54.864,6683054.864,39.247,0,0,6,no,0,7,ON
6, 01:51:23:94.341,6683094.341,39.477,0,0,7,no,0,7,ON
7, 01:51:23:133.773,6683133.773,39.431,0,0,8,no,-1,6,ON
8, 01:51:23:173.779,6683173.779,40.007,0,0,9,no,-1,6,ON
9, 01:51:23:213.115,6683213.115,39.336,0,0,10,no,-1,6,ON
10, 01:51:23:252.199,6683252.199,39.084,0,0,11,no,-1,6,ON
11, 01:51:23:291.793,6683291.793,39.595,0,0,12,no,-1,6,ON
12, 01:51:23:331.308,6683331.308,39.515,0,0,13,no,-2,6,ON
13, 01:51:23:370.700,6683370.700,39.392,0,0,14,no,-2,5,ON
14, 01:51:23:410.150,6683410.150,39.450,0,0,15,no,-1,6,ON
15, 01:51:23:450.095,6683450.095,39.945,0,0,16,no,0,7,ON
16, 01:51:23:489.505,6683489.505,39.409,0,0,17,no,0,7,ON
17, 01:51:23:528.850,6683528.850,39.346,0,0,18,no,0,7,ON
18, 01:51:23:568.337,6683568.337,39.487,0,0,19,no,-1,6,ON
19, 01:51:23:608.058,6683608.058,39.721,0,0,20,no,-1,6,ON
20, 01:51:23:647.229,6683647.229,39.171,0,0,21,no,-1,6,ON
21, 01:51:23:686.681,6683686.681,39.452,0,0,22,no,-2,5,ON
22, 01:51:23:726.669,6683726.669,39.988,0,0,23,no,-2,5,ON
23, 01:51:23:766.174,6683766.174,39.505,0,0,24,no,-2,6,ON
24, 01:51:23:805.228,6683805.228,39.054,0,0,25,no,-2,5,ON
25, 01:51:23:845.113,6683845.113,39.885,0,0,26,no,-1,6,ON
26, 01:51:23:884.028,6683884.028,38.916,0,0,27,no,0,7,ON
27, 01:51:23:923.768,6683923.768,39.740,0,0,28,no,0,7,ON
28, 01:51:23:963.266,6683963.266,39.498,0,0,29,no,-1,7,ON
29, 01:51:24:2.785,6684002.785,39.519,0,0,30,no,-1,6,ON
30, 01:51:24:43.064,6684043.064,40.279,0,0,31,no,-2,6,ON
31, 01:51:24:82.062,6684082.062,38.998,0,0,32,no,-2,6,ON
32, 01:51:24:121.326,6684121.326,39.264,0,0,33,no,-2,6,ON
33, 01:51:24:160.923,6684160.923,39.597,0,0,34,no,-2,5,ON
34, 01:51:24:200.294,6684200.294,39.371,0,0,35,no,-2,6,ON
35, 01:51:24:239.499,6684239.499,39.205,0,0,36,no,-2,5,ON
36, 01:51:24:278.997,6684278.997,39.498,0,0,37,no,-1,6,ON
37, 01:51:24:318.666,6684318.666,39.669,0,0,38,no,0,7,ON
38, 01:51:24:358.163,6684358.163,39.496,0,0,39,no,0,7,ON
39, 01:51:24:397.624,6684397.624,39.462,0,0,40,no,-1,7,ON
40, 01:51:24:436.949,6684436.949,39.324,0,0,41,no,-1,6,ON
41, 01:51:24:476.337,6684476.337,39.388,0,0,42,no,-2,6,ON
42, 01:51:24:515.957,6684515.957,39.621,0,0,43,no,-1,5,ON
43, 01:51:24:556.034,6684556.034,40.077,0,0,44,no,-2,5,ON
44, 01:51:24:594.974,6684594.974,38.940,0,0,45,no,-2,5,ON
45, 01:51:24:635.450,6684635.450,40.476,0,0,46,no,-2,6,ON
46, 01:51:24:674.234,6684674.234,38.785,0,0,47,no,-2,5,ON
47, 01:51:24:713.576,6684713.576,39.341,0,0,48,no,-2,6,ON
48, 01:51:24:753.141,6684753.141,39.566,0,0,49,no,0,7,ON
49, 01:51:24:792.691,6684792.691,39.549,0,0,50,no,0,7,ON
50, 01:51:24:832.201,6684832.201,39.510,0,0,51,no,-1,7,ON
51, 01:51:24:871.688,6684871.688,39.488,0,0,52,no,-1,7,ON
52, 01:51:24:911.882,6684911.882,40.194,0,0,53,no,-2,7,ON
