FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 02:00:01:767.418,7201767.418,38.657,0,0,1,no,-10,-3,ON
1, 02:00:01:807.040,7201807.040,39.623,0,0,2,no,-10,-3,ON
2, 02:00:01:847.457,7201847.457,40.416,0,0,3,no,-10,-3,ON
3, 02:00:01:885.783,7201885.783,38.326,0,0,4,no,-8,-2,ON
4, 02:00:01:926.464,7201926.464,40.682,0,0,5,no,-8,-1,ON
5, 02:00:01:965.153,7201965.153,38.689,0,0,6,no,-8,-1,ON
6, 02:00:02:4.477,7202004.477,39.324,0,0,7,no,-8,-2,ON
7, 02:00:02:43.936,7202043.936,39.459,0,0,8,no,-9,-3,ON
8, 02:00:02:83.257,7202083.257,39.321,0,0,9,no,-9,-3,ON
9, 02:00:02:122.612,7202122.612,39.354,0,0,10,no,-10,-3,ON
10, 02:00:02:162.182,7202162.182,39.570,0,0,11,no,-10,-3,ON
11, 02:00:02:201.753,7202201.753,39.571,0,0,12,no,-10,-3,ON
12, 02:00:02:241.361,7202241.361,39.608,0,0,13,no,-10,-3,ON
13, 02:00:02:280.403,7202280.403,39.042,0,0,14,no,-10,-3,ON
14, 02:00:02:320.155,7202320.155,39.752,0,0,15,no,-9,-2,ON
15, 02:00:02:360.603,7202360.603,40.447,0,0,16,no,-8,-1,ON
16, 02:00:02:399.154,7202399.154,38.551,0,0,17,no,-8,-2,ON
17, 02:00:02:439.540,7202439.540,40.387,0,0,18,no,-9,-2,ON
18, 02:00:02:478.389,7202478.389,38.848,0,0,19,no,-9,-3,ON
19, 02:00:02:517.524,7202517.524,39.136,0,0,20,no,-10,-3,ON
20, 02:00:02:556.907,7202556.907,39.382,0,0,21,no,-10,-3,ON
21, 02:00:02:596.469,7202596.469,39.563,0,0,22,no,-10,-3,ON
22, 02:00:02:636.051,7202636.051,39.582,0,0,23,no,-10,-3,ON
23, 02:00:02:677.529,7202677.529,41.478,0,0,24,no,-10,-3,ON
24, 02:00:02:715.234,7202715.234,37.705,0,0,25,no,-10,-4,ON
25, 02:00:02:755.358,7202755.358,40.124,0,0,26,no,-10,-2,ON
26, 02:00:02:794.361,7202794.361,39.004,0,0,27,no,-9,-1,ON
27, 02:00:02:833.500,7202833.500,39.139,0,0,28,no,-9,-2,ON
28, 02:00:02:873.004,7202873.004,39.504,0,0,29,no,-9,-2,ON
29, 02:00:02:912.656,7202912.656,39.652,0,0,30,no,-9,-3,ON
30, 02:00:02:952.497,7202952.497,39.841,0,0,31,no,-10,-3,ON
31, 02:00:02:991.824,7202991.824,39.327,0,0,32,no,-10,-3,ON
32, 02:00:03:31.005,7203031.005,39.180,0,0,33,no,-10,-3,ON
33, 02:00:03:70.943,7203070.943,39.938,0,0,34,no,-10,-3,ON
34, 02:00:03:111.408,7203111.408,40.465,0,0,35,no,-10,-3,ON
35, 02:00:03:150.656,7203150.656,39.248,0,0,36,no,-11,-4,ON
36, 02:00:03:189.340,7203189.340,38.684,0,0,37,no,-10,-3,ON
37, 02:00:03:228.897,7203228.897,39.557,0,0,38,no,-8,-2,ON
38, 02:00:03:268.167,7203268.167,39.271,0,0,39,no,-8,-2,ON
39, 02:00:03:307.659,7203307.659,39.491,0,0,40,no,-8,-1,ON
40, 02:00:03:347.521,7203347.521,39.863,0,0,41,no,-9,-1,ON
41, 02:00:03:386.294,7203386.294,38.773,0,0,42,no,-9,-1,ON
42, 02:00:03:426.146,7203426.146,39.852,0,0,43,no,-9,-1,ON
43, 02:00:03:465.612,7203465.612,39.466,0,0,44,no,-9,0,ON
44, 02:00:03:504.970,7203504.970,39.357,0,0,45,no,-9,0,ON
45, 02:00:03:544.893,7203544.893,39.924,0,0,46,no,-9,1,ON
46, 02:00:03:584.032,7203584.032,39.139,0,0,47,no,-9,1,ON
47, 02:00:03:623.479,7203623.479,39.447,0,0,48,no,-9,2,ON
48, 02:00:03:663.035,7203663.035,39.556,0,0,49,no,-7,4,ON
49, 02:00:03:702.685,7203702.685,39.650,0,0,50,no,-6,5,ON
50, 02:00:03:741.995,7203741.995,39.309,0,0,51,no,-6,6,ON
51, 02:00:03:781.572,7203781.572,39.577,0,0,52,no,-6,6,ON
52, 02:00:03:821.424,7203821.424,39.852,0,0,53,no,-7,6,ON
53, 02:00:03:860.522,7203860.522,39.098,0,0,54,no,-7,6,ON
54, 02:00:03:900.981,7203900.981,40.459,0,0,55,no,-7,7,ON
55, 02:00:03:939.498,7203939.498,38.517,0,0,56,no,-7,7,ON
56, 02:00:03:979.155,7203979.155,39.658,0,0,57,no,-7,8,ON
57, 02:00:04:18.955,7204018.955,39.800,0,0,58,no,-7,8,ON
58, 02:00:04:58.257,7204058.257,39.302,0,0,59,no,-7,9,ON
59, 02:00:04:98.339,7204098.339,40.082,0,0,60,no,-5,11,ON
60, 02:00:04:137.998,7204137.998,39.658,0,0,61,no,-4,10,ON
61, 02:00:04:176.492,7204176.492,38.494,0,0,62,no,-4,9,ON
62, 02:00:04:216.069,7204216.069,39.577,0,0,63,no,-5,7,ON
63, 02:00:04:255.833,7204255.833,39.765,0,0,64,no,-6,5,ON
64, 02:00:04:295.537,7204295.537,39.704,0,0,65,no,-7,4,ON
65, 02:00:04:334.501,7204334.501,38.965,0,0,66,no,-7,3,ON
66, 02:00:04:375.584,7204375.584,41.082,0,0,67,no,-8,2,ON
67, 02:00:04:413.656,7204413.656,38.072,0,0,68,no,-8,1,ON
68, 02:00:04:452.852,7204452.852,39.196,0,0,69,no,-8,0,ON
69, 02:00:04:492.460,7204492.460,39.609,0,0,70,no,-9,-1,ON
70, 02:00:04:532.128,7204532.128,39.668,0,0,71,no,-8,0,ON
71, 02:00:04:571.455,7204571.455,39.327,0,0,72,no,-7,1,ON
72, 02:00:04:611.050,7204611.050,39.595,0,0,73,no,-7,1,ON
