FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 01:39:29:396.892,5969396.892,38.927,0,0,1,no,-9,-4,ON
1, 01:39:29:436.366,5969436.366,39.473,0,0,2,no,-9,-4,ON
2, 01:39:29:476.445,5969476.445,40.079,0,0,3,no,-10,-4,ON
3, 01:39:29:515.860,5969515.860,39.416,0,0,4,no,-10,-4,ON
4, 01:39:29:554.776,5969554.776,38.916,0,0,5,no,-10,-4,ON
5, 01:39:29:594.319,5969594.319,39.543,0,0,6,no,-9,-4,ON
6, 01:39:29:633.653,5969633.653,39.333,0,0,7,no,-7,-2,ON
7, 01:39:29:673.179,5969673.179,39.526,0,0,8,no,-7,-2,ON
8, 01:39:29:713.011,5969713.011,39.832,0,0,9,no,-8,-3,ON
9, 01:39:29:752.357,5969752.357,39.346,0,0,10,no,-8,-3,ON
10, 01:39:29:791.640,5969791.640,39.283,0,0,11,no,-9,-4,ON
11, 01:39:29:832.069,5969832.069,40.428,0,0,12,no,-9,-4,ON
12, 01:39:29:871.548,5969871.548,39.479,0,0,13,no,-10,-4,ON
13, 01:39:29:910.541,5969910.541,38.994,0,0,14,no,-10,-5,ON
14, 01:39:29:949.969,5969949.969,39.428,0,0,15,no,-10,-5,ON
15, 01:39:29:989.927,5969989.927,39.958,0,0,16,no,-10,-5,ON
16, 01:39:30:29.140,5970029.140,39.213,0,0,17,no,-10,-5,ON
17, 01:39:30:68.456,5970068.456,39.316,0,0,18,no,-8,-3,ON
18, 01:39:30:107.793,5970107.793,39.336,0,0,19,no,-7,-3,ON
19, 01:39:30:148.052,5970148.052,40.259,0,0,20,no,-8,-3,ON
20, 01:39:30:187.327,5970187.327,39.275,0,0,21,no,-8,-3,ON
21, 01:39:30:225.988,5970225.988,38.662,0,0,22,no,-9,-4,ON
22, 01:39:30:265.615,5970265.615,39.627,0,0,23,no,-9,-5,ON
23, 01:39:30:305.032,5970305.032,39.417,0,0,24,no,-9,-5,ON
24, 01:39:30:345.436,5970345.436,40.404,0,0,25,no,-10,-5,ON
25, 01:39:30:383.974,5970383.974,38.539,0,0,26,no,-10,-5,ON
26, 01:39:30:423.490,5970423.490,39.516,0,0,27,no,-10,-5,ON
27, 01:39:30:463.628,5970463.628,40.138,0,0,28,no,-10,-5,ON
28, 01:39:30:502.594,5970502.594,38.966,0,0,29,no,-9,-4,ON
29, 01:39:30:542.446,5970542.446,39.852,0,0,30,no,-7,-3,ON
30, 01:39:30:582.234,5970582.234,39.788,0,0,31,no,-7,-3,ON
