FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 21:46:02:338.925,78362338.925,39.184,0,0,1,no,-7,-4,ON
1, 21:46:02:378.554,78362378.554,39.629,0,0,2,no,-7,-4,ON
2, 21:46:02:418.024,78362418.024,39.471,0,0,3,no,-8,-4,ON
3, 21:46:02:457.613,78362457.613,39.588,0,0,4,no,-8,-4,ON
4, 21:46:02:496.926,78362496.926,39.313,0,0,5,no,-9,-4,ON
5, 21:46:02:536.564,78362536.564,39.638,0,0,6,no,-9,-5,ON
6, 21:46:02:575.999,78362575.999,39.434,0,0,7,no,-8,-4,ON
7, 21:46:02:615.558,78362615.558,39.559,0,0,8,no,-6,-3,ON
8, 21:46:02:654.890,78362654.890,39.332,0,0,9,no,-6,-3,ON
9, 21:46:02:694.545,78362694.545,39.655,0,0,10,no,-6,-4,ON
10, 21:46:02:733.954,78362733.954,39.409,0,0,11,no,-7,-5,ON
11, 21:46:02:773.664,78362773.664,39.710,0,0,12,no,-8,-6,ON
12, 21:46:02:812.872,78362812.872,39.208,0,0,13,no,-9,-6,ON
13, 21:46:02:852.540,78362852.540,39.668,0,0,14,no,-9,-6,ON
14, 21:46:02:891.901,78362891.901,39.361,0,0,15,no,-10,-6,ON
15, 21:46:02:931.511,78362931.511,39.610,0,0,16,no,-10,-6,ON
16, 21:46:02:970.911,78362970.911,39.400,0,0,17,no,-9,-6,ON
17, 21:46:03:10.572,78363010.572,39.661,0,0,18,no,-8,-5,ON
18, 21:46:03:50.193,78363050.193,39.621,0,0,19,no,-6,-4,ON
19, 21:46:03:89.493,78363089.493,39.300,0,0,20,no,-6,-4,ON
20, 21:46:03:128.927,78363128.927,39.434,0,0,21,no,-6,-5,ON
21, 21:46:03:168.479,78363168.479,39.552,0,0,22,no,-7,-6,ON
22, 21:46:03:207.940,78363207.940,39.461,0,0,23,no,-8,-6,ON
23, 21:46:03:247.534,78363247.534,39.594,0,0,24,no,-8,-6,ON
24, 21:46:03:286.807,78363286.807,39.273,0,0,25,no,-9,-6,ON
25, 21:46:03:326.493,78363326.493,39.686,0,0,26,no,-9,-6,ON
26, 21:46:03:365.781,78363365.781,39.288,0,0,27,no,-9,-6,ON
27, 21:46:03:405.271,78363405.271,39.490,0,0,28,no,-8,-7,ON
28, 21:46:03:444.693,78363444.693,39.422,0,0,29,no,-7,-5,ON
