FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 22:05:18:32.934,79518032.934,39.637,0,0,1,no,-7,3,ON
1, 22:05:18:72.902,79518072.902,39.968,0,0,2,no,-7,3,ON
2, 22:05:18:111.697,79518111.697,38.795,0,0,3,no,-7,3,ON
3, 22:05:18:151.328,79518151.328,39.631,0,0,4,no,-7,3,ON
4, 22:05:18:190.830,79518190.830,39.502,0,0,5,no,-8,3,ON
5, 22:05:18:230.312,79518230.312,39.482,0,0,6,no,-7,3,ON
6, 22:05:18:269.818,79518269.818,39.506,0,0,7,no,-6,4,ON
7, 22:05:18:309.172,79518309.172,39.354,0,0,8,no,-4,5,ON
8, 22:05:18:348.787,79518348.787,39.614,0,0,9,no,-4,5,ON
9, 22:05:18:388.446,79518388.446,39.660,0,0,10,no,-4,4,ON
10, 22:05:18:427.862,79518427.862,39.415,0,0,11,no,-5,3,ON
11, 22:05:18:467.398,79518467.398,39.536,0,0,12,no,-6,2,ON
12, 22:05:18:507.052,79518507.052,39.654,0,0,13,no,-6,2,ON
13, 22:05:18:546.395,79518546.395,39.343,0,0,14,no,-6,3,ON
14, 22:05:18:585.782,79518585.782,39.387,0,0,15,no,-6,2,ON
15, 22:05:18:625.266,79518625.266,39.484,0,0,16,no,-7,3,ON
16, 22:05:18:664.864,79518664.864,39.599,0,0,17,no,-6,3,ON
17, 22:05:18:704.458,79518704.458,39.594,0,0,18,no,-6,3,ON
18, 22:05:18:743.783,79518743.783,39.324,0,0,19,no,-4,5,ON
19, 22:05:18:783.391,79518783.391,39.609,0,0,20,no,-3,5,ON
20, 22:05:18:822.916,79518822.916,39.524,0,0,21,no,-3,4,ON
21, 22:05:18:862.268,79518862.268,39.353,0,0,22,no,-4,3,ON
22, 22:05:18:901.717,79518901.717,39.449,0,0,23,no,-5,2,ON
23, 22:05:18:941.284,79518941.284,39.567,0,0,24,no,-6,2,ON
24, 22:05:18:980.790,79518980.790,39.506,0,0,25,no,-6,2,ON
25, 22:05:19:20.405,79519020.405,39.615,0,0,26,no,-6,2,ON
26, 22:05:19:59.581,79519059.581,39.176,0,0,27,no,-7,3,ON
27, 22:05:19:98.877,79519098.877,39.296,0,0,28,no,-7,3,ON
28, 22:05:19:138.665,79519138.665,39.788,0,0,29,no,-7,3,ON
29, 22:05:19:178.247,79519178.247,39.582,0,0,30,no,-6,6,ON
30, 22:05:19:217.737,79519217.737,39.491,0,0,31,no,-5,7,ON
31, 22:05:19:257.409,79519257.409,39.671,0,0,32,no,-5,7,ON
32, 22:05:19:296.671,79519296.671,39.262,0,0,33,no,-5,7,ON
33, 22:05:19:336.083,79519336.083,39.412,0,0,34,no,-6,7,ON
34, 22:05:19:375.728,79519375.728,39.645,0,0,35,no,-8,7,ON
35, 22:05:19:415.275,79519415.275,39.547,0,0,36,no,-8,8,ON
36, 22:05:19:454.883,79519454.883,39.608,0,0,37,no,-8,9,ON
37, 22:05:19:494.614,79519494.614,39.732,0,0,38,no,-9,9,ON
38, 22:05:19:533.733,79519533.733,39.119,0,0,39,no,-10,11,ON
39, 22:05:19:573.335,79519573.335,39.602,0,0,40,no,-9,11,ON
40, 22:05:19:612.726,79519612.726,39.391,0,0,41,no,-9,13,ON
41, 22:05:19:652.007,79519652.007,39.281,0,0,42,no,-7,15,ON
42, 22:05:19:691.741,79519691.741,39.734,0,0,43,no,-7,16,ON
43, 22:05:19:731.113,79519731.113,39.372,0,0,44,no,-7,16,ON
44, 22:05:19:770.592,79519770.592,39.479,0,0,45,no,-8,17,ON
45, 22:05:19:810.265,79519810.265,39.673,0,0,46,no,-9,16,ON
46, 22:05:19:849.536,79519849.536,39.271,0,0,47,no,-9,17,ON
47, 22:05:19:889.264,79519889.264,39.728,0,0,48,no,-8,16,ON
48, 22:05:19:928.558,79519928.558,39.295,0,0,49,no,-7,14,ON
49, 22:05:19:968.117,79519968.117,39.559,0,0,50,no,-7,13,ON
50, 22:05:20:7.800,79520007.800,39.683,0,0,51,no,-8,12,ON
51, 22:05:20:47.164,79520047.164,39.364,0,0,52,no,-6,10,ON
52, 22:05:20:86.593,79520086.593,39.429,0,0,53,no,-5,11,ON
53, 22:05:20:126.172,79520126.172,39.579,0,0,54,no,-4,11,ON
54, 22:05:20:165.630,79520165.630,39.458,0,0,55,no,-3,10,ON
55, 22:05:20:205.308,79520205.308,39.679,0,0,56,no,-3,9,ON
56, 22:05:20:244.641,79520244.641,39.333,0,0,57,no,-4,7,ON
57, 22:05:20:284.268,79520284.268,39.626,0,0,58,no,-5,6,ON
58, 22:05:20:323.609,79520323.609,39.341,0,0,59,no,-6,6,ON
59, 22:05:20:363.259,79520363.259,39.650,0,0,60,no,-6,6,ON
60, 22:05:20:402.630,79520402.630,39.371,0,0,61,no,-7,6,ON
61, 22:05:20:442.296,79520442.296,39.666,0,0,62,no,-7,6,ON
62, 22:05:20:481.613,79520481.613,39.317,0,0,63,no,-6,6,ON
63, 22:05:20:521.105,79520521.105,39.492,0,0,64,no,-6,6,ON
64, 22:05:20:560.616,79520560.616,39.512,0,0,65,no,-4,7,ON
65, 22:05:20:600.231,79520600.231,39.615,0,0,66,no,-4,7,ON
66, 22:05:20:639.486,79520639.486,39.254,0,0,67,no,-4,6,ON
67, 22:05:20:679.311,79520679.311,39.825,0,0,68,no,-5,5,ON
68, 22:05:20:718.473,79520718.473,39.162,0,0,69,no,-6,5,ON
69, 22:05:20:758.391,79520758.391,39.918,0,0,70,no,-7,4,ON
70, 22:05:20:797.610,79520797.610,39.218,0,0,71,no,-7,4,ON
71, 22:05:20:837.130,79520837.130,39.520,0,0,72,no,-7,4,ON
72, 22:05:20:876.585,79520876.585,39.456,0,0,73,no,-7,4,ON
73, 22:05:20:916.209,79520916.209,39.624,0,0,74,no,-8,4,ON
74, 22:05:20:955.542,79520955.542,39.332,0,0,75,no,-7,4,ON
75, 22:05:20:995.158,79520995.158,39.617,0,0,76,no,-6,6,ON
76, 22:05:21:34.638,79521034.638,39.479,0,0,77,no,-5,7,ON
77, 22:05:21:74.163,79521074.163,39.526,0,0,78,no,-5,6,ON
78, 22:05:21:113.516,79521113.516,39.352,0,0,79,no,-5,5,ON
79, 22:05:21:153.174,79521153.174,39.658,0,0,80,no,-6,4,ON
80, 22:05:21:192.733,79521192.733,39.559,0,0,81,no,-7,3,ON
81, 22:05:21:231.999,79521231.999,39.266,0,0,82,no,-7,4,ON
82, 22:05:21:271.668,79521271.668,39.669,0,0,83,no,-8,4,ON
83, 22:05:21:311.107,79521311.107,39.439,0,0,84,no,-8,4,ON
84, 22:05:21:350.598,79521350.598,39.491,0,0,85,no,-8,4,ON
85, 22:05:21:390.319,79521390.319,39.721,0,0,86,no,-8,4,ON
86, 22:05:21:429.628,79521429.628,39.310,0,0,87,no,-8,5,ON
87, 22:05:21:469.189,79521469.189,39.560,0,0,88,no,-6,6,ON
88, 22:05:21:508.700,79521508.700,39.511,0,0,89,no,-5,6,ON
89, 22:05:21:548.077,79521548.077,39.377,0,0,90,no,-5,5,ON
90, 22:05:21:587.540,79521587.540,39.463,0,0,91,no,-6,4,ON
91, 22:05:21:627.031,79521627.031,39.491,0,0,92,no,-7,3,ON
92, 22:05:21:666.498,79521666.498,39.466,0,0,93,no,-7,3,ON
93, 22:05:21:706.178,79521706.178,39.681,0,0,94,no,-7,3,ON
94, 22:05:21:745.454,79521745.454,39.275,0,0,95,no,-7,3,ON
95, 22:05:21:785.329,79521785.329,39.875,0,0,96,no,-7,4,ON
96, 22:05:21:824.755,79521824.755,39.427,0,0,97,no,-8,4,ON
97, 22:05:21:864.233,79521864.233,39.478,0,0,98,no,-7,4,ON
98, 22:05:21:903.717,79521903.717,39.485,0,0,99,no,-6,5,ON
99, 22:05:21:943.544,79521943.544,39.827,0,0,100,no,-4,6,ON
100, 22:05:21:982.583,79521982.583,39.039,0,0,101,no,-4,5,ON
101, 22:05:22:22.217,79522022.217,39.634,0,0,102,no,-4,4,ON
102, 22:05:22:61.508,79522061.508,39.291,0,0,103,no,-5,3,ON
103, 22:05:22:100.864,79522100.864,39.356,0,0,104,no,-6,3,ON
104, 22:05:22:140.414,79522140.414,39.549,0,0,105,no,-6,3,ON
105, 22:05:22:179.963,79522179.963,39.550,0,0,106,no,-7,3,ON
106, 22:05:22:219.504,79522219.504,39.541,0,0,107,no,-7,3,ON
107, 22:05:22:259.232,79522259.232,39.728,0,0,108,no,-7,3,ON
108, 22:05:22:298.467,79522298.467,39.235,0,0,109,no,-7,3,ON
109, 22:05:22:338.092,79522338.092,39.625,0,0,110,no,-6,4,ON
110, 22:05:22:377.588,79522377.588,39.496,0,0,111,no,-4,6,ON
111, 22:05:22:417.215,79522417.215,39.627,0,0,112,no,-5,6,ON
112, 22:05:22:456.554,79522456.554,39.340,0,0,113,no,-5,6,ON
113, 22:05:22:496.155,79522496.155,39.600,0,0,114,no,-5,6,ON
114, 22:05:22:535.568,79522535.568,39.413,0,0,115,no,-7,5,ON
115, 22:05:22:575.163,79522575.163,39.595,0,0,116,no,-7,6,ON
116, 22:05:22:614.729,79522614.729,39.566,0,0,117,no,-8,7,ON
117, 22:05:22:654.292,79522654.292,39.564,0,0,118,no,-8,7,ON
118, 22:05:22:693.562,79522693.562,39.269,0,0,119,no,-9,9,ON
119, 22:05:22:733.019,79522733.019,39.457,0,0,120,no,-9,9,ON
120, 22:05:22:772.616,79522772.616,39.598,0,0,121,no,-8,10,ON
121, 22:05:22:811.936,79522811.936,39.319,0,0,122,no,-7,13,ON
122, 22:05:22:851.406,79522851.406,39.471,0,0,123,no,-6,14,ON
123, 22:05:22:891.045,79522891.045,39.639,0,0,124,no,-7,14,ON
124, 22:05:22:930.288,79522930.288,39.243,0,0,125,no,-7,14,ON
125, 22:05:22:970.092,79522970.092,39.804,0,0,126,no,-8,14,ON
126, 22:05:23:9.667,79523009.667,39.575,0,0,127,no,-9,14,ON
127, 22:05:23:49.387,79523049.387,39.720,0,0,128,no,-9,16,ON
128, 22:05:23:88.369,79523088.369,38.982,0,0,129,no,-10,17,ON
129, 22:05:23:128.030,79523128.030,39.661,0,0,130,no,-10,17,ON
130, 22:05:23:167.497,79523167.497,39.468,0,0,131,no,-10,18,ON
131, 22:05:23:207.022,79523207.022,39.524,0,0,132,no,-8,16,ON
132, 22:05:23:246.485,79523246.485,39.463,0,0,133,no,-6,16,ON
133, 22:05:23:286.007,79523286.007,39.522,0,0,134,no,-5,16,ON
134, 22:05:23:325.367,79523325.367,39.360,0,0,135,no,-4,15,ON
135, 22:05:23:364.919,79523364.919,39.552,0,0,136,no,-4,13,ON
136, 22:05:23:404.538,79523404.538,39.618,0,0,137,no,-5,11,ON
137, 22:05:23:444.181,79523444.181,39.643,0,0,138,no,-5,10,ON
138, 22:05:23:483.578,79523483.578,39.398,0,0,139,no,-5,9,ON
139, 22:05:23:522.908,79523522.908,39.330,0,0,140,no,-6,8,ON
140, 22:05:23:562.478,79523562.478,39.570,0,0,141,no,-6,7,ON
141, 22:05:23:601.938,79523601.938,39.460,0,0,142,no,-7,8,ON
142, 22:05:23:641.513,79523641.513,39.575,0,0,143,no,-7,7,ON
143, 22:05:23:681.080,79523681.080,39.566,0,0,144,no,-6,7,ON
144, 22:05:23:720.460,79523720.460,39.380,0,0,145,no,-4,9,ON
145, 22:05:23:760.198,79523760.198,39.738,0,0,146,no,-3,9,ON
146, 22:05:23:799.525,79523799.525,39.327,0,0,147,no,-4,8,ON
147, 22:05:23:839.006,79523839.006,39.481,0,0,148,no,-4,7,ON
148, 22:05:23:878.684,79523878.684,39.678,0,0,149,no,-6,6,ON
149, 22:05:23:918.014,79523918.014,39.330,0,0,150,no,-6,5,ON
150, 22:05:23:957.563,79523957.563,39.549,0,0,151,no,-7,5,ON
151, 22:05:23:997.121,79523997.121,39.558,0,0,152,no,-7,5,ON
152, 22:05:24:36.451,79524036.451,39.330,0,0,153,no,-7,6,ON
