FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 22:24:55:437.109,80695437.109,39.343,0,0,1,no,3,2,ON
1, 22:24:55:476.486,80695476.486,39.378,0,0,2,no,2,0,ON
2, 22:24:55:516.032,80695516.032,39.546,0,0,3,no,1,-1,ON
3, 22:24:55:555.518,80695555.518,39.486,0,0,4,no,1,-1,ON
4, 22:24:55:595.237,80695595.237,39.719,0,0,5,no,0,-1,ON
5, 22:24:55:634.588,80695634.588,39.351,0,0,6,no,0,-1,ON
6, 22:24:55:673.937,80695673.937,39.349,0,0,7,no,0,0,ON
7, 22:24:55:713.904,80695713.904,39.967,0,0,8,no,0,-1,ON
8, 22:24:55:753.250,80695753.250,39.345,0,0,9,no,0,1,ON
9, 22:24:55:792.481,80695792.481,39.231,0,0,10,no,2,2,ON
10, 22:24:55:832.302,80695832.302,39.821,0,0,11,no,2,2,ON
11, 22:24:55:871.348,80695871.348,39.047,0,0,12,no,2,1,ON
12, 22:24:55:910.897,80695910.897,39.549,0,0,13,no,1,0,ON
13, 22:24:55:950.538,80695950.538,39.641,0,0,14,no,0,-1,ON
14, 22:24:55:990.223,80695990.223,39.686,0,0,15,no,0,-1,ON
15, 22:24:56:29.537,80696029.537,39.314,0,0,16,no,0,-1,ON
16, 22:24:56:69.333,80696069.333,39.795,0,0,17,no,-1,-1,ON
17, 22:24:56:108.426,80696108.426,39.094,0,0,18,no,-1,-1,ON
18, 22:24:56:148.358,80696148.358,39.932,0,0,19,no,-1,-1,ON
19, 22:24:56:187.524,80696187.524,39.166,0,0,20,no,0,1,ON
20, 22:24:56:227.099,80696227.099,39.575,0,0,21,no,1,2,ON
21, 22:24:56:266.502,80696266.502,39.403,0,0,22,no,1,1,ON
22, 22:24:56:306.211,80696306.211,39.709,0,0,23,no,1,1,ON
