FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 21:55:48:708.651,78948708.651,39.456,0,0,1,no,-2,-1,ON
1, 21:55:48:748.283,78948748.283,39.632,0,0,2,no,-2,-1,ON
2, 21:55:48:787.866,78948787.866,39.584,0,0,3,no,-2,-2,ON
3, 21:55:48:827.150,78948827.150,39.284,0,0,4,no,-3,-3,ON
4, 21:55:48:866.557,78948866.557,39.407,0,0,5,no,-4,-4,ON
5, 21:55:48:906.238,78948906.238,39.680,0,0,6,no,-4,-4,ON
6, 21:55:48:945.835,78948945.835,39.597,0,0,7,no,-4,-4,ON
7, 21:55:48:985.366,78948985.366,39.531,0,0,8,no,-5,-4,ON
8, 21:55:49:24.742,78949024.742,39.376,0,0,9,no,-5,-4,ON
9, 21:55:49:63.962,78949063.962,39.220,0,0,10,no,-5,-4,ON
10, 21:55:49:103.520,78949103.520,39.558,0,0,11,no,-4,-3,ON
11, 21:55:49:143.146,78949143.146,39.626,0,0,12,no,-2,-2,ON
12, 21:55:49:182.610,78949182.610,39.463,0,0,13,no,-2,-2,ON
13, 21:55:49:222.079,78949222.079,39.469,0,0,14,no,-2,-3,ON
14, 21:55:49:261.708,78949261.708,39.629,0,0,15,no,-3,-3,ON
15, 21:55:49:300.950,78949300.950,39.242,0,0,16,no,-4,-4,ON
16, 21:55:49:340.521,78949340.521,39.571,0,0,17,no,-4,-4,ON
17, 21:55:49:380.021,78949380.021,39.500,0,0,18,no,-5,-4,ON
18, 21:55:49:419.538,78949419.538,39.517,0,0,19,no,-5,-4,ON
19, 21:55:49:459.164,78949459.164,39.627,0,0,20,no,-5,-4,ON
20, 21:55:49:498.431,78949498.431,39.267,0,0,21,no,-5,-4,ON
21, 21:55:49:537.957,78949537.957,39.526,0,0,22,no,-5,-4,ON
22, 21:55:49:577.383,78949577.383,39.426,0,0,23,no,-3,-2,ON
23, 21:55:49:616.865,78949616.865,39.482,0,0,24,no,-2,-2,ON
24, 21:55:49:656.699,78949656.699,39.834,0,0,25,no,-2,-3,ON
25, 21:55:49:695.990,78949695.990,39.291,0,0,26,no,-3,-3,ON
26, 21:55:49:735.802,78949735.802,39.812,0,0,27,no,-4,-4,ON
27, 21:55:49:774.954,78949774.954,39.151,0,0,28,no,-5,-5,ON
28, 21:55:49:814.545,78949814.545,39.592,0,0,29,no,-5,-4,ON
29, 21:55:49:854.046,78949854.046,39.500,0,0,30,no,-5,-5,ON
30, 21:55:49:893.536,78949893.536,39.490,0,0,31,no,-5,-4,ON
31, 21:55:49:933.038,78949933.038,39.502,0,0,32,no,-6,-4,ON
32, 21:55:49:972.641,78949972.641,39.603,0,0,33,no,-5,-4,ON
33, 21:55:50:11.978,78950011.978,39.336,0,0,34,no,-4,-2,ON
34, 21:55:50:51.771,78950051.771,39.794,0,0,35,no,-3,-1,ON
35, 21:55:50:90.949,78950090.949,39.178,0,0,36,no,-3,-1,ON
36, 21:55:50:130.629,78950130.629,39.679,0,0,37,no,-4,-1,ON
