FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 22:15:00:565.536,80100565.536,39.323,0,0,1,no,9,3,ON
1, 22:15:00:605.579,80100605.579,40.043,0,0,2,no,8,2,ON
2, 22:15:00:644.663,80100644.663,39.084,0,0,3,no,7,2,ON
3, 22:15:00:684.186,80100684.186,39.523,0,0,4,no,7,2,ON
4, 22:15:00:723.660,80100723.660,39.474,0,0,5,no,7,2,ON
5, 22:15:00:762.795,80100762.795,39.135,0,0,6,no,7,2,ON
6, 22:15:00:802.260,80100802.260,39.466,0,0,7,no,6,2,ON
7, 22:15:00:841.912,80100841.912,39.652,0,0,8,no,7,2,ON
8, 22:15:00:881.410,80100881.410,39.497,0,0,9,no,8,3,ON
9, 22:15:00:920.811,80100920.811,39.402,0,0,10,no,10,5,ON
10, 22:15:00:960.580,80100960.580,39.769,0,0,11,no,10,4,ON
11, 22:15:01:0.150,80101000.150,39.570,0,0,12,no,9,3,ON
12, 22:15:01:39.844,80101039.844,39.694,0,0,13,no,9,2,ON
13, 22:15:01:79.281,80101079.281,39.437,0,0,14,no,8,1,ON
14, 22:15:01:118.620,80101118.620,39.339,0,0,15,no,8,2,ON
15, 22:15:01:158.257,80101158.257,39.637,0,0,16,no,8,2,ON
16, 22:15:01:197.603,80101197.603,39.346,0,0,17,no,7,2,ON
17, 22:15:01:237.173,80101237.173,39.570,0,0,18,no,8,2,ON
18, 22:15:01:276.623,80101276.623,39.451,0,0,19,no,8,2,ON
19, 22:15:01:316.298,80101316.298,39.675,0,0,20,no,8,2,ON
20, 22:15:01:355.715,80101355.715,39.417,0,0,21,no,10,4,ON
21, 22:15:01:395.255,80101395.255,39.540,0,0,22,no,11,5,ON
22, 22:15:01:434.636,80101434.636,39.380,0,0,23,no,10,4,ON
23, 22:15:01:474.062,80101474.062,39.426,0,0,24,no,10,4,ON
24, 22:15:01:513.634,80101513.634,39.572,0,0,25,no,8,3,ON
25, 22:15:01:553.904,80101553.904,40.271,0,0,26,no,8,3,ON
26, 22:15:01:592.310,80101592.310,38.406,0,0,27,no,7,4,ON
27, 22:15:01:631.989,80101631.989,39.679,0,0,28,no,7,5,ON
28, 22:15:01:671.429,80101671.429,39.439,0,0,29,no,6,6,ON
29, 22:15:01:710.933,80101710.933,39.504,0,0,30,no,5,7,ON
30, 22:15:01:750.343,80101750.343,39.411,0,0,31,no,6,7,ON
31, 22:15:01:790.062,80101790.062,39.719,0,0,32,no,7,10,ON
32, 22:15:01:829.553,80101829.553,39.490,0,0,33,no,8,11,ON
33, 22:15:01:869.140,80101869.140,39.587,0,0,34,no,8,12,ON
34, 22:15:01:908.291,80101908.291,39.151,0,0,35,no,7,12,ON
35, 22:15:01:947.790,80101947.790,39.499,0,0,36,no,7,11,ON
36, 22:15:01:987.344,80101987.344,39.554,0,0,37,no,5,11,ON
37, 22:15:02:26.757,80102026.757,39.412,0,0,38,no,5,12,ON
38, 22:15:02:66.263,80102066.263,39.506,0,0,39,no,5,13,ON
39, 22:15:02:106.178,80102106.178,39.915,0,0,40,no,4,14,ON
40, 22:15:02:145.426,80102145.426,39.249,0,0,41,no,4,15,ON
41, 22:15:02:184.922,80102184.922,39.496,0,0,42,no,5,15,ON
42, 22:15:02:224.431,80102224.431,39.508,0,0,43,no,6,14,ON
43, 22:15:02:263.911,80102263.911,39.480,0,0,44,no,9,15,ON
44, 22:15:02:303.394,80102303.394,39.483,0,0,45,no,10,14,ON
45, 22:15:02:343.066,80102343.066,39.672,0,0,46,no,10,12,ON
46, 22:15:02:382.404,80102382.404,39.338,0,0,47,no,10,10,ON
47, 22:15:02:422.879,80102422.879,40.475,0,0,48,no,9,8,ON
48, 22:15:02:461.490,80102461.490,38.611,0,0,49,no,9,7,ON
49, 22:15:02:501.013,80102501.013,39.523,0,0,50,no,9,7,ON
50, 22:15:02:540.670,80102540.670,39.657,0,0,51,no,9,6,ON
51, 22:15:02:580.217,80102580.217,39.547,0,0,52,no,8,6,ON
52, 22:15:02:619.623,80102619.623,39.406,0,0,53,no,8,5,ON
53, 22:15:02:659.063,80102659.063,39.440,0,0,54,no,8,5,ON
54, 22:15:02:698.492,80102698.492,39.429,0,0,55,no,9,7,ON
55, 22:15:02:738.089,80102738.089,39.597,0,0,56,no,11,7,ON
56, 22:15:02:777.494,80102777.494,39.405,0,0,57,no,11,7,ON
57, 22:15:02:817.156,80102817.156,39.662,0,0,58,no,10,5,ON
58, 22:15:02:856.650,80102856.650,39.494,0,0,59,no,9,4,ON
59, 22:15:02:896.028,80102896.028,39.378,0,0,60,no,9,3,ON
60, 22:15:02:935.686,80102935.686,39.658,0,0,61,no,8,3,ON
61, 22:15:02:975.235,80102975.235,39.549,0,0,62,no,8,3,ON
62, 22:15:03:14.705,80103014.705,39.470,0,0,63,no,8,3,ON
63, 22:15:03:53.983,80103053.983,39.278,0,0,64,no,7,4,ON
64, 22:15:03:93.354,80103093.354,39.371,0,0,65,no,8,3,ON
65, 22:15:03:132.868,80103132.868,39.513,0,0,66,no,8,5,ON
66, 22:15:03:172.425,80103172.425,39.557,0,0,67,no,10,6,ON
67, 22:15:03:211.797,80103211.797,39.371,0,0,68,no,10,5,ON
68, 22:15:03:251.269,80103251.269,39.472,0,0,69,no,10,4,ON
69, 22:15:03:290.950,80103290.950,39.681,0,0,70,no,9,3,ON
70, 22:15:03:330.582,80103330.582,39.632,0,0,71,no,8,3,ON
71, 22:15:03:370.122,80103370.122,39.540,0,0,72,no,8,3,ON
72, 22:15:03:409.383,80103409.383,39.260,0,0,73,no,7,3,ON
73, 22:15:03:449.011,80103449.011,39.628,0,0,74,no,7,2,ON
74, 22:15:03:488.285,80103488.285,39.274,0,0,75,no,7,3,ON
75, 22:15:03:527.943,80103527.943,39.658,0,0,76,no,7,3,ON
76, 22:15:03:567.412,80103567.412,39.468,0,0,77,no,7,3,ON
77, 22:15:03:607.195,80103607.195,39.784,0,0,78,no,8,5,ON
78, 22:15:03:646.401,80103646.401,39.206,0,0,79,no,9,5,ON
79, 22:15:03:685.970,80103685.970,39.569,0,0,80,no,9,4,ON
80, 22:15:03:725.491,80103725.491,39.521,0,0,81,no,9,3,ON
81, 22:15:03:764.958,80103764.958,39.468,0,0,82,no,8,2,ON
82, 22:15:03:804.374,80103804.374,39.415,0,0,83,no,8,2,ON
83, 22:15:03:843.942,80103843.942,39.568,0,0,84,no,7,2,ON
84, 22:15:03:883.450,80103883.450,39.508,0,0,85,no,7,2,ON
85, 22:15:03:923.016,80103923.016,39.566,0,0,86,no,7,2,ON
86, 22:15:03:962.473,80103962.473,39.457,0,0,87,no,6,3,ON
87, 22:15:04:2.037,80104002.037,39.564,0,0,88,no,7,2,ON
88, 22:15:04:41.710,80104041.710,39.673,0,0,89,no,7,4,ON
89, 22:15:04:81.012,80104081.012,39.302,0,0,90,no,9,5,ON
90, 22:15:04:120.495,80104120.495,39.484,0,0,91,no,9,6,ON
91, 22:15:04:160.019,80104160.019,39.524,0,0,92,no,9,5,ON
92, 22:15:04:199.633,80104199.633,39.614,0,0,93,no,8,4,ON
93, 22:15:04:238.779,80104238.779,39.146,0,0,94,no,7,3,ON
94, 22:15:04:278.316,80104278.316,39.537,0,0,95,no,7,3,ON
95, 22:15:04:317.740,80104317.740,39.424,0,0,96,no,7,3,ON
96, 22:15:04:357.368,80104357.368,39.629,0,0,97,no,7,3,ON
97, 22:15:04:396.696,80104396.696,39.328,0,0,98,no,7,4,ON
98, 22:15:04:436.298,80104436.298,39.602,0,0,99,no,7,3,ON
99, 22:15:04:476.067,80104476.067,39.769,0,0,100,no,7,4,ON
100, 22:15:04:515.353,80104515.353,39.286,0,0,101,no,9,6,ON
101, 22:15:04:555.035,80104555.035,39.682,0,0,102,no,10,6,ON
102, 22:15:04:594.449,80104594.449,39.415,0,0,103,no,10,5,ON
103, 22:15:04:633.933,80104633.933,39.484,0,0,104,no,9,4,ON
104, 22:15:04:673.546,80104673.546,39.613,0,0,105,no,9,3,ON
105, 22:15:04:713.239,80104713.239,39.693,0,0,106,no,8,3,ON
106, 22:15:04:752.480,80104752.480,39.242,0,0,107,no,8,4,ON
107, 22:15:04:792.035,80104792.035,39.555,0,0,108,no,7,4,ON
108, 22:15:04:831.647,80104831.647,39.612,0,0,109,no,7,5,ON
109, 22:15:04:870.934,80104870.934,39.287,0,0,110,no,6,6,ON
110, 22:15:04:910.406,80104910.406,39.472,0,0,111,no,7,6,ON
111, 22:15:04:949.964,80104949.964,39.559,0,0,112,no,7,8,ON
112, 22:15:04:989.464,80104989.464,39.499,0,0,113,no,9,10,ON
113, 22:15:05:28.888,80105028.888,39.424,0,0,114,no,9,10,ON
114, 22:15:05:68.539,80105068.539,39.652,0,0,115,no,8,10,ON
115, 22:15:05:108.113,80105108.113,39.574,0,0,116,no,7,10,ON
116, 22:15:05:147.704,80105147.704,39.590,0,0,117,no,6,10,ON
117, 22:15:05:186.785,80105186.785,39.081,0,0,118,no,6,10,ON
118, 22:15:05:226.334,80105226.334,39.549,0,0,119,no,6,11,ON
119, 22:15:05:265.725,80105265.725,39.391,0,0,120,no,5,12,ON
120, 22:15:05:305.379,80105305.379,39.653,0,0,121,no,4,13,ON
121, 22:15:05:344.845,80105344.845,39.467,0,0,122,no,5,14,ON
122, 22:15:05:384.315,80105384.315,39.470,0,0,123,no,5,16,ON
123, 22:15:05:423.794,80105423.794,39.479,0,0,124,no,7,19,ON
124, 22:15:05:463.233,80105463.233,39.439,0,0,125,no,7,19,ON
125, 22:15:05:502.901,80105502.901,39.668,0,0,126,no,8,18,ON
126, 22:15:05:542.398,80105542.398,39.497,0,0,127,no,9,16,ON
127, 22:15:05:581.867,80105581.867,39.470,0,0,128,no,8,13,ON
