FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 22:02:09:191.291,79329191.291,39.382,0,0,1,no,-6,6,ON
1, 22:02:09:230.680,79329230.680,39.389,0,0,2,no,-5,7,ON
2, 22:02:09:270.241,79329270.241,39.562,0,0,3,no,-3,8,ON
3, 22:02:09:309.968,79329309.968,39.726,0,0,4,no,-3,8,ON
4, 22:02:09:349.324,79329349.324,39.357,0,0,5,no,-3,7,ON
5, 22:02:09:388.947,79329388.947,39.623,0,0,6,no,-4,6,ON
6, 22:02:09:428.373,79329428.373,39.426,0,0,7,no,-5,5,ON
7, 22:02:09:467.839,79329467.839,39.466,0,0,8,no,-5,5,ON
8, 22:02:09:507.340,79329507.340,39.501,0,0,9,no,-6,5,ON
9, 22:02:09:547.056,79329547.056,39.716,0,0,10,no,-6,5,ON
10, 22:02:09:586.438,79329586.438,39.382,0,0,11,no,-6,6,ON
11, 22:02:09:625.981,79329625.981,39.543,0,0,12,no,-6,6,ON
12, 22:02:09:665.408,79329665.408,39.427,0,0,13,no,-6,6,ON
13, 22:02:09:705.180,79329705.180,39.772,0,0,14,no,-4,7,ON
14, 22:02:09:744.315,79329744.315,39.135,0,0,15,no,-3,8,ON
15, 22:02:09:784.021,79329784.021,39.706,0,0,16,no,-3,7,ON
16, 22:02:09:823.602,79329823.602,39.581,0,0,17,no,-4,6,ON
17, 22:02:09:862.881,79329862.881,39.279,0,0,18,no,-5,5,ON
18, 22:02:09:902.264,79329902.264,39.383,0,0,19,no,-5,5,ON
19, 22:02:09:941.938,79329941.938,39.675,0,0,20,no,-5,5,ON
20, 22:02:09:981.369,79329981.369,39.431,0,0,21,no,-6,5,ON
21, 22:02:10:20.854,79330020.854,39.485,0,0,22,no,-6,5,ON
22, 22:02:10:60.062,79330060.062,39.208,0,0,23,no,-7,5,ON
23, 22:02:10:99.926,79330099.926,39.864,0,0,24,no,-6,5,ON
24, 22:02:10:139.390,79330139.390,39.464,0,0,25,no,-5,6,ON
25, 22:02:10:178.765,79330178.765,39.375,0,0,26,no,-3,8,ON
26, 22:02:10:218.110,79330218.110,39.345,0,0,27,no,-3,7,ON
27, 22:02:10:257.598,79330257.598,39.488,0,0,28,no,-3,6,ON
28, 22:02:10:297.321,79330297.321,39.723,0,0,29,no,-4,5,ON
29, 22:02:10:336.720,79330336.720,39.400,0,0,30,no,-5,5,ON
30, 22:02:10:376.150,79330376.150,39.429,0,0,31,no,-5,5,ON
31, 22:02:10:415.930,79330415.930,39.781,0,0,32,no,-5,5,ON
32, 22:02:10:455.204,79330455.204,39.273,0,0,33,no,-5,5,ON
33, 22:02:10:494.798,79330494.798,39.595,0,0,34,no,-6,5,ON
34, 22:02:10:534.448,79330534.448,39.650,0,0,35,no,-6,6,ON
35, 22:02:10:573.950,79330573.950,39.502,0,0,36,no,-5,7,ON
36, 22:02:10:613.371,79330613.371,39.422,0,0,37,no,-3,9,ON
37, 22:02:10:652.802,79330652.802,39.431,0,0,38,no,-3,10,ON
38, 22:02:10:692.234,79330692.234,39.432,0,0,39,no,-3,10,ON
39, 22:02:10:731.825,79330731.825,39.591,0,0,40,no,-4,10,ON
40, 22:02:10:771.199,79330771.199,39.373,0,0,41,no,-5,9,ON
41, 22:02:10:810.738,79330810.738,39.540,0,0,42,no,-6,9,ON
42, 22:02:10:850.186,79330850.186,39.448,0,0,43,no,-6,10,ON
43, 22:02:10:890.095,79330890.095,39.909,0,0,44,no,-6,11,ON
44, 22:02:10:929.200,79330929.200,39.105,0,0,45,no,-7,12,ON
45, 22:02:10:968.919,79330968.919,39.719,0,0,46,no,-7,13,ON
46, 22:02:11:8.415,79331008.415,39.496,0,0,47,no,-7,13,ON
47, 22:02:11:47.935,79331047.935,39.520,0,0,48,no,-5,16,ON
48, 22:02:11:87.161,79331087.161,39.226,0,0,49,no,-4,18,ON
49, 22:02:11:126.854,79331126.854,39.693,0,0,50,no,-4,18,ON
50, 22:02:11:166.183,79331166.183,39.329,0,0,51,no,-5,18,ON
51, 22:02:11:205.936,79331205.936,39.752,0,0,52,no,-5,18,ON
52, 22:02:11:245.205,79331245.205,39.270,0,0,53,no,-6,18,ON
53, 22:02:11:284.791,79331284.791,39.586,0,0,54,no,-5,17,ON
54, 22:02:11:324.431,79331324.431,39.640,0,0,55,no,-5,16,ON
55, 22:02:11:363.785,79331363.785,39.355,0,0,56,no,-5,15,ON
56, 22:02:11:403.222,79331403.222,39.437,0,0,57,no,-5,13,ON
57, 22:02:11:442.764,79331442.764,39.543,0,0,58,no,-4,12,ON
58, 22:02:11:482.236,79331482.236,39.471,0,0,59,no,-4,12,ON
59, 22:02:11:521.926,79331521.926,39.690,0,0,60,no,-2,13,ON
60, 22:02:11:561.196,79331561.196,39.271,0,0,61,no,-1,13,ON
61, 22:02:11:600.718,79331600.718,39.522,0,0,62,no,-1,11,ON
62, 22:02:11:640.430,79331640.430,39.712,0,0,63,no,-2,10,ON
63, 22:02:11:679.641,79331679.641,39.211,0,0,64,no,-3,9,ON
64, 22:02:11:719.226,79331719.226,39.585,0,0,65,no,-4,8,ON
65, 22:02:11:758.737,79331758.737,39.510,0,0,66,no,-4,8,ON
66, 22:02:11:798.230,79331798.230,39.494,0,0,67,no,-4,8,ON
67, 22:02:11:837.892,79331837.892,39.662,0,0,68,no,-4,8,ON
68, 22:02:11:877.128,79331877.128,39.236,0,0,69,no,-5,8,ON
69, 22:02:11:916.743,79331916.743,39.614,0,0,70,no,-4,7,ON
70, 22:02:11:956.222,79331956.222,39.479,0,0,71,no,-3,9,ON
71, 22:02:11:995.805,79331995.805,39.583,0,0,72,no,-2,9,ON
72, 22:02:12:35.250,79332035.250,39.445,0,0,73,no,-2,9,ON
73, 22:02:12:74.937,79332074.937,39.687,0,0,74,no,-3,8,ON
74, 22:02:12:114.228,79332114.228,39.292,0,0,75,no,-4,7,ON
75, 22:02:12:153.676,79332153.676,39.448,0,0,76,no,-4,7,ON
76, 22:02:12:193.245,79332193.245,39.569,0,0,77,no,-5,6,ON
77, 22:02:12:232.800,79332232.800,39.555,0,0,78,no,-5,6,ON
78, 22:02:12:272.248,79332272.248,39.449,0,0,79,no,-5,6,ON
79, 22:02:12:311.720,79332311.720,39.472,0,0,80,no,-5,6,ON
80, 22:02:12:351.248,79332351.248,39.528,0,0,81,no,-5,6,ON
81, 22:02:12:390.729,79332390.729,39.481,0,0,82,no,-5,7,ON
