FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 22:18:21:540.324,80301540.324,39.499,0,0,1,no,-1,-1,ON
1, 22:18:21:579.778,80301579.778,39.454,0,0,2,no,-1,-1,ON
2, 22:18:21:619.556,80301619.556,39.778,0,0,3,no,-1,-1,ON
3, 22:18:21:659.021,80301659.021,39.465,0,0,4,no,-2,-1,ON
4, 22:18:21:698.379,80301698.379,39.358,0,0,5,no,-2,-1,ON
5, 22:18:21:737.818,80301737.818,39.439,0,0,6,no,-2,-2,ON
6, 22:18:21:777.345,80301777.345,39.527,0,0,7,no,-1,0,ON
7, 22:18:21:817.238,80301817.238,39.894,0,0,8,no,0,1,ON
8, 22:18:21:856.281,80301856.281,39.043,0,0,9,no,0,0,ON
9, 22:18:21:895.933,80301895.933,39.652,0,0,10,no,0,-1,ON
10, 22:18:21:935.139,80301935.139,39.206,0,0,11,no,-1,-2,ON
11, 22:18:21:974.678,80301974.678,39.539,0,0,12,no,-1,-2,ON
12, 22:18:22:14.118,80302014.118,39.440,0,0,13,no,-2,-2,ON
13, 22:18:22:53.639,80302053.639,39.521,0,0,14,no,-2,-2,ON
14, 22:18:22:93.025,80302093.025,39.387,0,0,15,no,-2,-2,ON
15, 22:18:22:132.728,80302132.728,39.702,0,0,16,no,-3,-2,ON
16, 22:18:22:172.000,80302172.000,39.273,0,0,17,no,-2,-3,ON
17, 22:18:22:211.580,80302211.580,39.579,0,0,18,no,-2,-1,ON
18, 22:18:22:251.093,80302251.093,39.514,0,0,19,no,0,0,ON
19, 22:18:22:290.692,80302290.692,39.599,0,0,20,no,0,0,ON
20, 22:18:22:330.453,80302330.453,39.761,0,0,21,no,0,-1,ON
21, 22:18:22:369.623,80302369.623,39.170,0,0,22,no,-1,-2,ON
22, 22:18:22:409.256,80302409.256,39.634,0,0,23,no,-1,-3,ON
23, 22:18:22:448.718,80302448.718,39.462,0,0,24,no,-2,-3,ON
24, 22:18:22:488.340,80302488.340,39.622,0,0,25,no,-2,-3,ON
25, 22:18:22:527.645,80302527.645,39.305,0,0,26,no,-2,-3,ON
26, 22:18:22:567.372,80302567.372,39.727,0,0,27,no,-2,-2,ON
27, 22:18:22:606.710,80302606.710,39.339,0,0,28,no,-2,-3,ON
28, 22:18:22:646.270,80302646.270,39.560,0,0,29,no,-1,-1,ON
29, 22:18:22:685.654,80302685.654,39.384,0,0,30,no,1,0,ON
30, 22:18:22:725.168,80302725.168,39.514,0,0,31,no,1,0,ON
31, 22:18:22:764.709,80302764.709,39.541,0,0,32,no,1,-1,ON
32, 22:18:22:804.429,80302804.429,39.720,0,0,33,no,0,-3,ON
33, 22:18:22:843.812,80302843.812,39.383,0,0,34,no,0,-3,ON
34, 22:18:22:883.561,80302883.561,39.750,0,0,35,no,0,-3,ON
35, 22:18:22:922.726,80302922.726,39.164,0,0,36,no,-1,-3,ON
36, 22:18:22:962.239,80302962.239,39.513,0,0,37,no,-1,-3,ON
37, 22:18:23:1.714,80303001.714,39.475,0,0,38,no,-1,-2,ON
38, 22:18:23:41.222,80303041.222,39.508,0,0,39,no,-1,-3,ON
39, 22:18:23:80.716,80303080.716,39.493,0,0,40,no,0,-1,ON
40, 22:18:23:120.269,80303120.269,39.553,0,0,41,no,1,0,ON
41, 22:18:23:159.624,80303159.624,39.355,0,0,42,no,1,0,ON
42, 22:18:23:199.240,80303199.240,39.616,0,0,43,no,1,-1,ON
43, 22:18:23:238.655,80303238.655,39.415,0,0,44,no,0,-2,ON
44, 22:18:23:278.020,80303278.020,39.365,0,0,45,no,-1,-2,ON
45, 22:18:23:317.643,80303317.643,39.623,0,0,46,no,-1,-2,ON
46, 22:18:23:357.019,80303357.019,39.376,0,0,47,no,-2,-1,ON
47, 22:18:23:396.536,80303396.536,39.518,0,0,48,no,-2,-1,ON
48, 22:18:23:436.100,80303436.100,39.563,0,0,49,no,-3,0,ON
49, 22:18:23:475.522,80303475.522,39.423,0,0,50,no,-3,0,ON
50, 22:18:23:515.166,80303515.166,39.644,0,0,51,no,-3,2,ON
51, 22:18:23:554.806,80303554.806,39.640,0,0,52,no,-1,5,ON
52, 22:18:23:594.272,80303594.272,39.466,0,0,53,no,-1,5,ON
53, 22:18:23:633.992,80303633.992,39.720,0,0,54,no,-2,5,ON
54, 22:18:23:673.277,80303673.277,39.284,0,0,55,no,-2,4,ON
55, 22:18:23:712.604,80303712.604,39.328,0,0,56,no,-3,4,ON
56, 22:18:23:752.284,80303752.284,39.680,0,0,57,no,-4,5,ON
57, 22:18:23:791.760,80303791.760,39.476,0,0,58,no,-4,6,ON
58, 22:18:23:831.385,80303831.385,39.625,0,0,59,no,-5,7,ON
59, 22:18:23:870.731,80303870.731,39.346,0,0,60,no,-5,8,ON
60, 22:18:23:910.313,80303910.313,39.583,0,0,61,no,-5,9,ON
61, 22:18:23:949.734,80303949.734,39.421,0,0,62,no,-5,11,ON
62, 22:18:23:989.330,80303989.330,39.596,0,0,63,no,-3,13,ON
63, 22:18:24:28.783,80304028.783,39.453,0,0,64,no,-2,12,ON
64, 22:18:24:68.424,80304068.424,39.641,0,0,65,no,-1,10,ON
65, 22:18:24:107.898,80304107.898,39.474,0,0,66,no,-1,8,ON
66, 22:18:24:147.238,80304147.238,39.340,0,0,67,no,-2,6,ON
67, 22:18:24:186.734,80304186.734,39.495,0,0,68,no,-2,5,ON
68, 22:18:24:226.197,80304226.197,39.463,0,0,69,no,-1,4,ON
69, 22:18:24:265.714,80304265.714,39.517,0,0,70,no,-1,3,ON
70, 22:18:24:305.221,80304305.221,39.507,0,0,71,no,-2,3,ON
71, 22:18:24:344.748,80304344.748,39.527,0,0,72,no,-1,2,ON
72, 22:18:24:384.463,80304384.463,39.715,0,0,73,no,-1,2,ON
73, 22:18:24:423.626,80304423.626,39.163,0,0,74,no,0,3,ON
74, 22:18:24:463.052,80304463.052,39.427,0,0,75,no,1,3,ON
75, 22:18:24:502.585,80304502.585,39.532,0,0,76,no,1,2,ON
76, 22:18:24:542.084,80304542.084,39.499,0,0,77,no,1,1,ON
77, 22:18:24:581.533,80304581.533,39.449,0,0,78,no,0,0,ON
78, 22:18:24:621.144,80304621.144,39.612,0,0,79,no,0,-1,ON
79, 22:18:24:660.727,80304660.727,39.582,0,0,80,no,-1,-1,ON
80, 22:18:24:700.218,80304700.218,39.491,0,0,81,no,-2,-1,ON
81, 22:18:24:739.603,80304739.603,39.385,0,0,82,no,-2,-1,ON
82, 22:18:24:779.254,80304779.254,39.651,0,0,83,no,-2,-1,ON
83, 22:18:24:818.801,80304818.801,39.547,0,0,84,no,-2,-1,ON
84, 22:18:24:858.461,80304858.461,39.659,0,0,85,no,0,1,ON
85, 22:18:24:897.677,80304897.677,39.216,0,0,86,no,1,1,ON
86, 22:18:24:937.388,80304937.388,39.711,0,0,87,no,1,0,ON
87, 22:18:24:976.851,80304976.851,39.463,0,0,88,no,0,-1,ON
88, 22:18:25:16.251,80305016.251,39.400,0,0,89,no,-1,-2,ON
89, 22:18:25:55.729,80305055.729,39.478,0,0,90,no,-1,-2,ON
90, 22:18:25:95.306,80305095.306,39.577,0,0,91,no,-2,-2,ON
91, 22:18:25:135.193,80305135.193,39.887,0,0,92,no,-2,-2,ON
92, 22:18:25:174.239,80305174.239,39.046,0,0,93,no,-2,-2,ON
93, 22:18:25:213.819,80305213.819,39.580,0,0,94,no,-2,-2,ON
94, 22:18:25:253.291,80305253.291,39.472,0,0,95,no,-2,-2,ON
95, 22:18:25:292.830,80305292.830,39.539,0,0,96,no,-1,0,ON
96, 22:18:25:332.375,80305332.375,39.545,0,0,97,no,0,1,ON
97, 22:18:25:371.800,80305371.800,39.424,0,0,98,no,0,0,ON
