FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 22:28:03:539.543,80883539.543,39.498,0,0,1,no,-7,-2,ON
1, 22:28:03:579.249,80883579.249,39.706,0,0,2,no,-8,-2,ON
2, 22:28:03:618.609,80883618.609,39.360,0,0,3,no,-7,-3,ON
3, 22:28:03:658.110,80883658.110,39.501,0,0,4,no,-6,0,ON
4, 22:28:03:697.777,80883697.777,39.667,0,0,5,no,-5,0,ON
5, 22:28:03:737.015,80883737.015,39.238,0,0,6,no,-5,-1,ON
6, 22:28:03:776.679,80883776.679,39.664,0,0,7,no,-5,-2,ON
7, 22:28:03:816.183,80883816.183,39.504,0,0,8,no,-6,-3,ON
8, 22:28:03:855.711,80883855.711,39.528,0,0,9,no,-7,-3,ON
9, 22:28:03:895.233,80883895.233,39.522,0,0,10,no,-7,-3,ON
10, 22:28:03:934.715,80883934.715,39.481,0,0,11,no,-8,-4,ON
11, 22:28:03:974.188,80883974.188,39.473,0,0,12,no,-8,-4,ON
12, 22:28:04:13.733,80884013.733,39.545,0,0,13,no,-8,-4,ON
13, 22:28:04:53.382,80884053.382,39.649,0,0,14,no,-8,-3,ON
14, 22:28:04:92.705,80884092.705,39.323,0,0,15,no,-6,-1,ON
15, 22:28:04:132.090,80884132.090,39.385,0,0,16,no,-6,-1,ON
16, 22:28:04:171.519,80884171.519,39.429,0,0,17,no,-6,-2,ON
17, 22:28:04:211.072,80884211.072,39.553,0,0,18,no,-6,-4,ON
18, 22:28:04:250.507,80884250.507,39.435,0,0,19,no,-7,-4,ON
19, 22:28:04:290.068,80884290.068,39.562,0,0,20,no,-7,-4,ON
20, 22:28:04:329.519,80884329.519,39.451,0,0,21,no,-8,-4,ON
21, 22:28:04:369.072,80884369.072,39.553,0,0,22,no,-8,-4,ON
22, 22:28:04:408.534,80884408.534,39.463,0,0,23,no,-9,-4,ON
23, 22:28:04:448.245,80884448.245,39.710,0,0,24,no,-8,-5,ON
24, 22:28:04:487.793,80884487.793,39.549,0,0,25,no,-8,-2,ON
25, 22:28:04:527.276,80884527.276,39.483,0,0,26,no,-6,-2,ON
26, 22:28:04:566.570,80884566.570,39.294,0,0,27,no,-6,-2,ON
27, 22:28:04:605.985,80884605.985,39.415,0,0,28,no,-6,-3,ON
28, 22:28:04:645.669,80884645.669,39.683,0,0,29,no,-7,-4,ON
29, 22:28:04:685.133,80884685.133,39.464,0,0,30,no,-7,-5,ON
30, 22:28:04:724.633,80884724.633,39.500,0,0,31,no,-7,-5,ON
31, 22:28:04:764.184,80884764.184,39.551,0,0,32,no,-8,-5,ON
32, 22:28:04:803.589,80884803.589,39.404,0,0,33,no,-8,-4,ON
33, 22:28:04:843.167,80884843.167,39.578,0,0,34,no,-8,-5,ON
34, 22:28:04:882.747,80884882.747,39.580,0,0,35,no,-8,-4,ON
35, 22:28:04:921.964,80884921.964,39.218,0,0,36,no,-6,-2,ON
36, 22:28:04:961.571,80884961.571,39.606,0,0,37,no,-5,-2,ON
37, 22:28:05:1.106,80885001.106,39.535,0,0,38,no,-5,-3,ON
38, 22:28:05:40.502,80885040.502,39.396,0,0,39,no,-6,-4,ON
39, 22:28:05:79.927,80885079.927,39.425,0,0,40,no,-7,-5,ON
40, 22:28:05:119.569,80885119.569,39.642,0,0,41,no,-7,-5,ON
41, 22:28:05:159.061,80885159.061,39.492,0,0,42,no,-7,-5,ON
42, 22:28:05:198.918,80885198.918,39.857,0,0,43,no,-7,-5,ON
43, 22:28:05:238.089,80885238.089,39.171,0,0,44,no,-7,-5,ON
44, 22:28:05:277.608,80885277.608,39.520,0,0,45,no,-7,-5,ON
45, 22:28:05:317.051,80885317.051,39.442,0,0,46,no,-6,-3,ON
46, 22:28:05:356.991,80885356.991,39.940,0,0,47,no,-5,-2,ON
47, 22:28:05:396.111,80885396.111,39.120,0,0,48,no,-5,-2,ON
48, 22:28:05:435.539,80885435.539,39.428,0,0,49,no,-5,-3,ON
49, 22:28:05:475.181,80885475.181,39.641,0,0,50,no,-5,-5,ON
50, 22:28:05:514.689,80885514.689,39.509,0,0,51,no,-6,-5,ON
51, 22:28:05:554.285,80885554.285,39.596,0,0,52,no,-6,-4,ON
52, 22:28:05:593.822,80885593.822,39.537,0,0,53,no,-7,-4,ON
53, 22:28:05:633.261,80885633.261,39.440,0,0,54,no,-8,-3,ON
54, 22:28:05:672.726,80885672.726,39.465,0,0,55,no,-8,-3,ON
55, 22:28:05:713.021,80885713.021,40.295,0,0,56,no,-8,-2,ON
56, 22:28:05:751.557,80885751.557,38.536,0,0,57,no,-7,1,ON
57, 22:28:05:791.230,80885791.230,39.673,0,0,58,no,-7,1,ON
58, 22:28:05:830.639,80885830.639,39.409,0,0,59,no,-7,1,ON
59, 22:28:05:869.963,80885869.963,39.324,0,0,60,no,-7,1,ON
60, 22:28:05:909.721,80885909.721,39.758,0,0,61,no,-8,0,ON
61, 22:28:05:949.319,80885949.319,39.598,0,0,62,no,-9,1,ON
62, 22:28:05:988.761,80885988.761,39.442,0,0,63,no,-10,2,ON
63, 22:28:06:28.285,80886028.285,39.524,0,0,64,no,-10,3,ON
64, 22:28:06:67.574,80886067.574,39.289,0,0,65,no,-11,3,ON
65, 22:28:06:107.307,80886107.307,39.733,0,0,66,no,-11,4,ON
66, 22:28:06:147.096,80886147.096,39.789,0,0,67,no,-10,7,ON
67, 22:28:06:186.279,80886186.279,39.182,0,0,68,no,-9,9,ON
68, 22:28:06:225.730,80886225.730,39.452,0,0,69,no,-9,9,ON
69, 22:28:06:265.279,80886265.279,39.549,0,0,70,no,-9,9,ON
70, 22:28:06:304.677,80886304.677,39.398,0,0,71,no,-10,8,ON
71, 22:28:06:344.240,80886344.240,39.563,0,0,72,no,-9,7,ON
72, 22:28:06:383.922,80886383.922,39.681,0,0,73,no,-9,6,ON
73, 22:28:06:423.244,80886423.244,39.322,0,0,74,no,-9,5,ON
74, 22:28:06:462.839,80886462.839,39.596,0,0,75,no,-9,4,ON
75, 22:28:06:502.480,80886502.480,39.641,0,0,76,no,-8,3,ON
76, 22:28:06:541.848,80886541.848,39.368,0,0,77,no,-7,2,ON
77, 22:28:06:581.053,80886581.053,39.204,0,0,78,no,-6,4,ON
78, 22:28:06:620.619,80886620.619,39.567,0,0,79,no,-5,3,ON
79, 22:28:06:660.201,80886660.201,39.582,0,0,80,no,-5,2,ON
80, 22:28:06:699.954,80886699.954,39.753,0,0,81,no,-5,0,ON
81, 22:28:06:739.215,80886739.215,39.260,0,0,82,no,-6,-1,ON
82, 22:28:06:778.574,80886778.574,39.360,0,0,83,no,-6,-1,ON
