FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 22:11:37:498.568,79897498.568,39.347,0,0,1,no,5,2,ON
1, 22:11:37:538.204,79897538.204,39.636,0,0,2,no,6,2,ON
2, 22:11:37:577.696,79897577.696,39.492,0,0,3,no,6,1,ON
3, 22:11:37:617.230,79897617.230,39.534,0,0,4,no,5,0,ON
4, 22:11:37:656.477,79897656.477,39.247,0,0,5,no,4,-1,ON
5, 22:11:37:696.130,79897696.130,39.653,0,0,6,no,4,-1,ON
6, 22:11:37:735.469,79897735.469,39.339,0,0,7,no,4,-2,ON
7, 22:11:37:774.933,79897774.933,39.464,0,0,8,no,3,-2,ON
8, 22:11:37:814.393,79897814.393,39.461,0,0,9,no,2,-2,ON
9, 22:11:37:853.893,79897853.893,39.499,0,0,10,no,2,-2,ON
10, 22:11:37:893.748,79897893.748,39.855,0,0,11,no,3,-2,ON
11, 22:11:37:933.016,79897933.016,39.268,0,0,12,no,4,0,ON
12, 22:11:37:972.334,79897972.334,39.318,0,0,13,no,5,1,ON
13, 22:11:38:12.082,79898012.082,39.748,0,0,14,no,5,0,ON
14, 22:11:38:51.637,79898051.637,39.554,0,0,15,no,5,-1,ON
15, 22:11:38:91.128,79898091.128,39.492,0,0,16,no,4,-2,ON
16, 22:11:38:130.579,79898130.579,39.451,0,0,17,no,3,-3,ON
17, 22:11:38:170.430,79898170.430,39.851,0,0,18,no,3,-3,ON
18, 22:11:38:209.727,79898209.727,39.297,0,0,19,no,3,-3,ON
19, 22:11:38:249.182,79898249.182,39.455,0,0,20,no,2,-3,ON
20, 22:11:38:288.557,79898288.557,39.375,0,0,21,no,2,-2,ON
21, 22:11:38:328.136,79898328.136,39.579,0,0,22,no,2,-3,ON
22, 22:11:38:367.521,79898367.521,39.385,0,0,23,no,2,-2,ON
23, 22:11:38:407.212,79898407.212,39.691,0,0,24,no,4,-1,ON
24, 22:11:38:446.481,79898446.481,39.269,0,0,25,no,5,0,ON
25, 22:11:38:485.994,79898485.994,39.514,0,0,26,no,5,-1,ON
26, 22:11:38:525.466,79898525.466,39.472,0,0,27,no,4,-2,ON
27, 22:11:38:564.872,79898564.872,39.406,0,0,28,no,3,-3,ON
