FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 22:08:22:688.926,79702688.926,39.336,0,0,1,no,-1,1,ON
1, 22:08:22:728.310,79702728.310,39.384,0,0,2,no,-1,0,ON
2, 22:08:22:767.785,79702767.785,39.475,0,0,3,no,-2,0,ON
3, 22:08:22:807.589,79702807.589,39.804,0,0,4,no,-3,0,ON
4, 22:08:22:846.791,79702846.791,39.202,0,0,5,no,-3,-1,ON
5, 22:08:22:886.393,79702886.393,39.602,0,0,6,no,-3,-1,ON
6, 22:08:22:925.889,79702925.889,39.497,0,0,7,no,-4,0,ON
7, 22:08:22:965.403,79702965.403,39.513,0,0,8,no,-4,-1,ON
8, 22:08:23:5.036,79703005.036,39.634,0,0,9,no,-3,-1,ON
9, 22:08:23:44.325,79703044.325,39.289,0,0,10,no,-2,1,ON
10, 22:08:23:84.023,79703084.023,39.698,0,0,11,no,0,1,ON
11, 22:08:23:123.342,79703123.342,39.319,0,0,12,no,-1,1,ON
12, 22:08:23:162.823,79703162.823,39.481,0,0,13,no,-1,0,ON
13, 22:08:23:202.434,79703202.434,39.611,0,0,14,no,-2,-1,ON
14, 22:08:23:241.843,79703241.843,39.409,0,0,15,no,-3,-2,ON
15, 22:08:23:281.394,79703281.394,39.551,0,0,16,no,-3,-2,ON
16, 22:08:23:321.230,79703321.230,39.836,0,0,17,no,-3,-2,ON
17, 22:08:23:360.346,79703360.346,39.117,0,0,18,no,-3,-1,ON
18, 22:08:23:399.987,79703399.987,39.640,0,0,19,no,-4,-1,ON
19, 22:08:23:439.355,79703439.355,39.369,0,0,20,no,-3,-1,ON
20, 22:08:23:479.007,79703479.007,39.652,0,0,21,no,-3,0,ON
21, 22:08:23:518.565,79703518.565,39.557,0,0,22,no,-1,1,ON
22, 22:08:23:557.963,79703557.963,39.398,0,0,23,no,-1,1,ON
23, 22:08:23:597.440,79703597.440,39.477,0,0,24,no,-1,0,ON
24, 22:08:23:637.021,79703637.021,39.580,0,0,25,no,-2,-1,ON
25, 22:08:23:676.397,79703676.397,39.376,0,0,26,no,-3,-2,ON
26, 22:08:23:715.906,79703715.906,39.510,0,0,27,no,-3,-2,ON
27, 22:08:23:755.709,79703755.709,39.803,0,0,28,no,-3,-2,ON
28, 22:08:23:795.068,79703795.068,39.359,0,0,29,no,-3,-2,ON
29, 22:08:23:834.390,79703834.390,39.322,0,0,30,no,-4,-1,ON
30, 22:08:23:873.905,79703873.905,39.515,0,0,31,no,-4,-1,ON
31, 22:08:23:913.400,79703913.400,39.495,0,0,32,no,-4,-2,ON
32, 22:08:23:952.741,79703952.741,39.342,0,0,33,no,-3,0,ON
33, 22:08:23:992.264,79703992.264,39.522,0,0,34,no,-1,1,ON
34, 22:08:24:31.815,79704031.815,39.551,0,0,35,no,-1,0,ON
35, 22:08:24:71.470,79704071.470,39.656,0,0,36,no,-1,0,ON
36, 22:08:24:110.836,79704110.836,39.366,0,0,37,no,-2,-2,ON
