FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 21:41:53:450.734,78113450.734,39.413,0,0,1,no,2,-1,ON
1, 21:41:53:490.753,78113490.753,40.019,0,0,2,no,4,0,ON
2, 21:41:53:529.673,78113529.673,38.920,0,0,3,no,4,0,ON
3, 21:41:53:569.350,78113569.350,39.677,0,0,4,no,3,0,ON
4, 21:41:53:608.858,78113608.858,39.507,0,0,5,no,1,-1,ON
5, 21:41:53:648.551,78113648.551,39.693,0,0,6,no,0,-2,ON
6, 21:41:53:687.762,78113687.762,39.211,0,0,7,no,-1,-2,ON
7, 21:41:53:727.378,78113727.378,39.616,0,0,8,no,-2,-3,ON
8, 21:41:53:766.776,78113766.776,39.398,0,0,9,no,-2,-3,ON
9, 21:41:53:806.222,78113806.222,39.446,0,0,10,no,-2,-2,ON
10, 21:41:53:845.816,78113845.816,39.594,0,0,11,no,1,-3,ON
11, 21:41:53:885.219,78113885.219,39.403,0,0,12,no,2,-2,ON
12, 21:41:53:925.271,78113925.271,40.052,0,0,13,no,3,-1,ON
13, 21:41:53:964.274,78113964.274,39.003,0,0,14,no,3,-2,ON
14, 21:41:54:4.112,78114004.112,39.837,0,0,15,no,0,-2,ON
15, 21:41:54:43.195,78114043.195,39.084,0,0,16,no,-1,-3,ON
16, 21:41:54:82.696,78114082.696,39.500,0,0,17,no,-2,-4,ON
17, 21:41:54:122.586,78114122.586,39.890,0,0,18,no,-2,-4,ON
18, 21:41:54:162.122,78114162.122,39.535,0,0,19,no,-2,-4,ON
19, 21:41:54:201.408,78114201.408,39.287,0,0,20,no,-2,-4,ON
20, 21:41:54:240.782,78114240.782,39.374,0,0,21,no,-1,-4,ON
21, 21:41:54:280.610,78114280.610,39.828,0,0,22,no,0,-3,ON
22, 21:41:54:319.734,78114319.734,39.123,0,0,23,no,2,-2,ON
23, 21:41:54:359.425,78114359.425,39.691,0,0,24,no,2,-2,ON
24, 21:41:54:399.785,78114399.785,40.360,0,0,25,no,1,-3,ON
25, 21:41:54:438.826,78114438.826,39.041,0,0,26,no,0,-4,ON
26, 21:41:54:477.574,78114477.574,38.749,0,0,27,no,-2,-4,ON
27, 21:41:54:517.001,78114517.001,39.427,0,0,28,no,-3,-4,ON
28, 21:41:54:556.532,78114556.532,39.531,0,0,29,no,-3,-4,ON
29, 21:41:54:596.164,78114596.164,39.632,0,0,30,no,-3,-4,ON
30, 21:41:54:635.599,78114635.599,39.434,0,0,31,no,-1,-4,ON
31, 21:41:54:675.674,78114675.674,40.075,0,0,32,no,1,-3,ON
32, 21:41:54:714.691,78114714.691,39.017,0,0,33,no,2,-2,ON
33, 21:41:54:754.493,78114754.493,39.802,0,0,34,no,2,-2,ON
34, 21:41:54:793.906,78114793.906,39.414,0,0,35,no,0,-2,ON
35, 21:41:54:833.134,78114833.134,39.228,0,0,36,no,-1,-3,ON
36, 21:41:54:873.183,78114873.183,40.049,0,0,37,no,-2,-4,ON
37, 21:41:54:912.298,78114912.298,39.115,0,0,38,no,-2,-4,ON
38, 21:41:54:952.038,78114952.038,39.740,0,0,39,no,-3,-4,ON
39, 21:41:54:991.411,78114991.411,39.373,0,0,40,no,-2,-4,ON
40, 21:41:55:30.712,78115030.712,39.302,0,0,41,no,-2,-4,ON
41, 21:41:55:70.772,78115070.772,40.060,0,0,42,no,-1,-3,ON
42, 21:41:55:109.836,78115109.836,39.063,0,0,43,no,2,-2,ON
43, 21:41:55:149.543,78115149.543,39.707,0,0,44,no,2,-2,ON
44, 21:41:55:188.930,78115188.930,39.386,0,0,45,no,1,-3,ON
45, 21:41:55:228.839,78115228.839,39.910,0,0,46,no,0,-4,ON
46, 21:41:55:268.837,78115268.837,39.998,0,0,47,no,-2,-4,ON
47, 21:41:55:308.261,78115308.261,39.424,0,0,48,no,-3,-4,ON
48, 21:41:55:346.467,78115346.467,38.206,0,0,49,no,-3,-4,ON
49, 21:41:55:386.433,78115386.433,39.966,0,0,50,no,-2,-4,ON
50, 21:41:55:425.534,78115425.534,39.102,0,0,51,no,-1,-4,ON
51, 21:41:55:465.288,78115465.288,39.753,0,0,52,no,0,-4,ON
52, 21:41:55:504.667,78115504.667,39.379,0,0,53,no,1,-3,ON
53, 21:41:55:544.238,78115544.238,39.571,0,0,54,no,2,-2,ON
54, 21:41:55:583.839,78115583.839,39.601,0,0,55,no,1,-2,ON
55, 21:41:55:623.592,78115623.592,39.753,0,0,56,no,0,-2,ON
56, 21:41:55:662.876,78115662.876,39.283,0,0,57,no,-1,-2,ON
57, 21:41:55:702.158,78115702.158,39.282,0,0,58,no,-1,-2,ON
58, 21:41:55:741.590,78115741.590,39.432,0,0,59,no,-1,-1,ON
59, 21:41:55:781.307,78115781.307,39.717,0,0,60,no,-1,0,ON
60, 21:41:55:820.640,78115820.640,39.333,0,0,61,no,0,1,ON
61, 21:41:55:860.202,78115860.202,39.562,0,0,62,no,1,1,ON
62, 21:41:55:899.411,78115899.411,39.209,0,0,63,no,4,4,ON
63, 21:41:55:939.363,78115939.363,39.953,0,0,64,no,5,5,ON
64, 21:41:55:979.053,78115979.053,39.690,0,0,65,no,5,5,ON
65, 21:41:56:19.004,78116019.004,39.952,0,0,66,no,3,6,ON
66, 21:41:56:58.275,78116058.275,39.271,0,0,67,no,2,6,ON
67, 21:41:56:97.657,78116097.657,39.382,0,0,68,no,2,6,ON
68, 21:41:56:137.063,78116137.063,39.406,0,0,69,no,2,7,ON
69, 21:41:56:177.027,78116177.027,39.964,0,0,70,no,3,7,ON
70, 21:41:56:215.956,78116215.956,38.928,0,0,71,no,4,9,ON
71, 21:41:56:255.831,78116255.831,39.876,0,0,72,no,5,9,ON
72, 21:41:56:294.688,78116294.688,38.857,0,0,73,no,7,12,ON
73, 21:41:56:334.607,78116334.607,39.919,0,0,74,no,10,14,ON
74, 21:41:56:373.982,78116373.982,39.374,0,0,75,no,9,12,ON
75, 21:41:56:413.572,78116413.572,39.590,0,0,76,no,8,10,ON
