FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 21:31:22:201.433,77482201.433,39.964,0,0,1,no,-7,0,ON
1, 21:31:22:240.567,77482240.567,39.134,0,0,2,no,-7,0,ON
2, 21:31:22:280.122,77482280.122,39.555,0,0,3,no,-7,0,ON
3, 21:31:22:319.674,77482319.674,39.552,0,0,4,no,-7,0,ON
4, 21:31:22:359.000,77482359.000,39.326,0,0,5,no,-6,0,ON
5, 21:31:22:398.159,77482398.159,39.159,0,0,6,no,-4,2,ON
6, 21:31:22:437.807,77482437.807,39.648,0,0,7,no,-3,2,ON
7, 21:31:22:477.270,77482477.270,39.463,0,0,8,no,-3,2,ON
8, 21:31:22:516.738,77482516.738,39.468,0,0,9,no,-5,0,ON
9, 21:31:22:556.940,77482556.940,40.202,0,0,10,no,-6,0,ON
10, 21:31:22:596.612,77482596.612,39.672,0,0,11,no,-8,0,ON
11, 21:31:22:635.347,77482635.347,38.735,0,0,12,no,-9,0,ON
12, 21:31:22:674.829,77482674.829,39.482,0,0,13,no,-8,0,ON
13, 21:31:22:714.939,77482714.939,40.110,0,0,14,no,-8,0,ON
14, 21:31:22:754.068,77482754.068,39.129,0,0,15,no,-6,-1,ON
15, 21:31:22:793.887,77482793.887,39.819,0,0,16,no,-4,1,ON
16, 21:31:22:833.924,77482833.924,40.037,0,0,17,no,-3,2,ON
17, 21:31:22:872.582,77482872.582,38.658,0,0,18,no,-4,1,ON
18, 21:31:22:912.156,77482912.156,39.575,0,0,19,no,-6,1,ON
19, 21:31:22:951.633,77482951.633,39.477,0,0,20,no,-7,0,ON
20, 21:31:22:991.163,77482991.163,39.530,0,0,21,no,-7,-1,ON
21, 21:31:23:30.564,77483030.564,39.401,0,0,22,no,-8,-1,ON
22, 21:31:23:71.025,77483071.025,40.461,0,0,23,no,-8,-1,ON
23, 21:31:23:109.513,77483109.513,38.488,0,0,24,no,-7,0,ON
24, 21:31:23:149.871,77483149.871,40.358,0,0,25,no,-7,-1,ON
25, 21:31:23:188.792,77483188.792,38.921,0,0,26,no,-5,1,ON
26, 21:31:23:227.473,77483227.473,38.681,0,0,27,no,-3,2,ON
27, 21:31:23:267.094,77483267.094,39.621,0,0,28,no,-4,2,ON
28, 21:31:23:306.687,77483306.687,39.593,0,0,29,no,-5,1,ON
29, 21:31:23:346.102,77483346.102,39.415,0,0,30,no,-6,0,ON
30, 21:31:23:385.796,77483385.796,39.694,0,0,31,no,-8,-1,ON
31, 21:31:23:425.332,77483425.332,39.536,0,0,32,no,-8,-1,ON
32, 21:31:23:465.013,77483465.013,39.681,0,0,33,no,-8,-1,ON
33, 21:31:23:504.406,77483504.406,39.393,0,0,34,no,-7,-1,ON
34, 21:31:23:543.564,77483543.564,39.158,0,0,35,no,-7,-1,ON
35, 21:31:23:583.222,77483583.222,39.658,0,0,36,no,-6,0,ON
36, 21:31:23:624.086,77483624.086,40.864,0,0,37,no,-4,1,ON
37, 21:31:23:663.154,77483663.154,39.068,0,0,38,no,-4,1,ON
38, 21:31:23:702.006,77483702.006,38.852,0,0,39,no,-5,1,ON
39, 21:31:23:741.369,77483741.369,39.363,0,0,40,no,-6,0,ON
40, 21:31:23:781.027,77483781.027,39.659,0,0,41,no,-7,-1,ON
41, 21:31:23:820.735,77483820.735,39.707,0,0,42,no,-8,-1,ON
42, 21:31:23:859.887,77483859.887,39.152,0,0,43,no,-8,0,ON
