FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 21:21:29:38.215,76889038.215,39.219,0,0,1,no,-12,-2,ON
1, 21:21:29:77.968,76889077.968,39.753,0,0,2,no,-13,-2,ON
2, 21:21:29:117.505,76889117.505,39.536,0,0,3,no,-13,-2,ON
3, 21:21:29:156.984,76889156.984,39.479,0,0,4,no,-13,-2,ON
4, 21:21:29:197.697,76889197.697,40.713,0,0,5,no,-12,-3,ON
5, 21:21:29:236.015,76889236.015,38.318,0,0,6,no,-11,-2,ON
6, 21:21:29:275.741,76889275.741,39.726,0,0,7,no,-10,-1,ON
7, 21:21:29:315.080,76889315.080,39.339,0,0,8,no,-11,-1,ON
8, 21:21:29:354.663,76889354.663,39.583,0,0,9,no,-12,-2,ON
9, 21:21:29:394.021,76889394.021,39.358,0,0,10,no,-13,-3,ON
10, 21:21:29:434.606,76889434.606,40.586,0,0,11,no,-14,-4,ON
11, 21:21:29:473.135,76889473.135,38.528,0,0,12,no,-14,-4,ON
12, 21:21:29:512.515,76889512.515,39.380,0,0,13,no,-15,-4,ON
13, 21:21:29:551.894,76889551.894,39.379,0,0,14,no,-15,-4,ON
14, 21:21:29:591.900,76889591.900,40.007,0,0,15,no,-14,-4,ON
15, 21:21:29:630.815,76889630.815,38.914,0,0,16,no,-13,-3,ON
16, 21:21:29:670.378,76889670.378,39.564,0,0,17,no,-11,-2,ON
17, 21:21:29:709.861,76889709.861,39.482,0,0,18,no,-11,-2,ON
18, 21:21:29:750.261,76889750.261,40.401,0,0,19,no,-12,-3,ON
19, 21:21:29:788.895,76889788.895,38.634,0,0,20,no,-14,-4,ON
20, 21:21:29:828.553,76889828.553,39.659,0,0,21,no,-15,-4,ON
21, 21:21:29:867.947,76889867.947,39.393,0,0,22,no,-15,-5,ON
22, 21:21:29:907.595,76889907.595,39.649,0,0,23,no,-15,-5,ON
23, 21:21:29:946.999,76889946.999,39.404,0,0,24,no,-15,-5,ON
24, 21:21:29:986.617,76889986.617,39.618,0,0,25,no,-15,-5,ON
25, 21:21:30:25.913,76890025.913,39.295,0,0,26,no,-14,-4,ON
26, 21:21:30:65.475,76890065.475,39.562,0,0,27,no,-12,-3,ON
27, 21:21:30:104.848,76890104.848,39.373,0,0,28,no,-11,-3,ON
28, 21:21:30:144.412,76890144.412,39.564,0,0,29,no,-12,-3,ON
29, 21:21:30:183.815,76890183.815,39.403,0,0,30,no,-13,-4,ON
30, 21:21:30:223.126,76890223.126,39.311,0,0,31,no,-15,-5,ON
31, 21:21:30:262.733,76890262.733,39.608,0,0,32,no,-15,-5,ON
32, 21:21:30:302.470,76890302.470,39.736,0,0,33,no,-15,-5,ON
33, 21:21:30:341.721,76890341.721,39.251,0,0,34,no,-15,-5,ON
34, 21:21:30:381.449,76890381.449,39.728,0,0,35,no,-14,-5,ON
35, 21:21:30:420.942,76890420.942,39.493,0,0,36,no,-13,-5,ON
36, 21:21:30:460.548,76890460.548,39.606,0,0,37,no,-12,-3,ON
37, 21:21:30:499.995,76890499.995,39.447,0,0,38,no,-11,-3,ON
38, 21:21:30:539.799,76890539.799,39.804,0,0,39,no,-12,-3,ON
39, 21:21:30:579.014,76890579.014,39.215,0,0,40,no,-13,-4,ON
40, 21:21:30:618.631,76890618.631,39.617,0,0,41,no,-14,-5,ON
41, 21:21:30:658.077,76890658.077,39.446,0,0,42,no,-15,-5,ON
42, 21:21:30:697.513,76890697.513,39.436,0,0,43,no,-15,-6,ON
43, 21:21:30:737.156,76890737.156,39.643,0,0,44,no,-15,-5,ON
44, 21:21:30:776.530,76890776.530,39.374,0,0,45,no,-14,-5,ON
45, 21:21:30:815.625,76890815.625,39.095,0,0,46,no,-14,-6,ON
