FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 21:34:40:516.828,77680516.828,39.109,0,0,1,no,9,4,ON
1, 21:34:40:556.651,77680556.651,39.823,0,0,2,no,10,5,ON
2, 21:34:40:596.145,77680596.145,39.494,0,0,3,no,10,5,ON
3, 21:34:40:635.915,77680635.915,39.770,0,0,4,no,8,4,ON
4, 21:34:40:675.251,77680675.251,39.336,0,0,5,no,7,3,ON
5, 21:34:40:714.524,77680714.524,39.273,0,0,6,no,5,2,ON
6, 21:34:40:754.154,77680754.154,39.630,0,0,7,no,5,2,ON
7, 21:34:40:793.630,77680793.630,39.476,0,0,8,no,5,2,ON
8, 21:34:40:832.804,77680832.804,39.173,0,0,9,no,5,2,ON
9, 21:34:40:872.384,77680872.384,39.580,0,0,10,no,6,2,ON
10, 21:34:40:911.961,77680911.961,39.577,0,0,11,no,7,2,ON
11, 21:34:40:951.821,77680951.821,39.860,0,0,12,no,8,3,ON
12, 21:34:40:990.794,77680990.794,38.973,0,0,13,no,9,4,ON
13, 21:34:41:30.348,77681030.348,39.554,0,0,14,no,7,4,ON
14, 21:34:41:71.102,77681071.102,40.754,0,0,15,no,6,3,ON
15, 21:34:41:109.429,77681109.429,38.328,0,0,16,no,5,1,ON
16, 21:34:41:149.216,77681149.216,39.787,0,0,17,no,5,1,ON
17, 21:34:41:188.827,77681188.827,39.611,0,0,18,no,4,1,ON
18, 21:34:41:228.199,77681228.199,39.372,0,0,19,no,4,1,ON
19, 21:34:41:267.613,77681267.613,39.414,0,0,20,no,4,1,ON
20, 21:34:41:307.365,77681307.365,39.752,0,0,21,no,4,1,ON
21, 21:34:41:346.490,77681346.490,39.125,0,0,22,no,7,2,ON
22, 21:34:41:386.225,77681386.225,39.735,0,0,23,no,8,3,ON
23, 21:34:41:425.464,77681425.464,39.238,0,0,24,no,8,3,ON
24, 21:34:41:465.917,77681465.917,40.454,0,0,25,no,7,2,ON
25, 21:34:41:504.908,77681504.908,38.991,0,0,26,no,4,1,ON
26, 21:34:41:544.334,77681544.334,39.425,0,0,27,no,3,1,ON
27, 21:34:41:583.250,77681583.250,38.917,0,0,28,no,3,1,ON
28, 21:34:41:622.723,77681622.723,39.473,0,0,29,no,3,1,ON
29, 21:34:41:662.232,77681662.232,39.508,0,0,30,no,4,0,ON
30, 21:34:41:701.724,77681701.724,39.492,0,0,31,no,5,1,ON
31, 21:34:41:741.173,77681741.173,39.449,0,0,32,no,6,1,ON
32, 21:34:41:781.445,77681781.445,40.272,0,0,33,no,8,3,ON
33, 21:34:41:821.194,77681821.194,39.750,0,0,34,no,8,3,ON
34, 21:34:41:860.301,77681860.301,39.106,0,0,35,no,6,3,ON
35, 21:34:41:899.750,77681899.750,39.450,0,0,36,no,5,2,ON
36, 21:34:41:939.074,77681939.074,39.323,0,0,37,no,4,1,ON
37, 21:34:41:978.758,77681978.758,39.684,0,0,38,no,3,1,ON
38, 21:34:42:18.730,77682018.730,39.972,0,0,39,no,3,1,ON
39, 21:34:42:57.729,77682057.729,38.999,0,0,40,no,3,1,ON
40, 21:34:42:97.072,77682097.072,39.343,0,0,41,no,3,1,ON
41, 21:34:42:136.134,77682136.134,39.062,0,0,42,no,5,0,ON
42, 21:34:42:175.721,77682175.721,39.587,0,0,43,no,7,2,ON
43, 21:34:42:215.293,77682215.293,39.572,0,0,44,no,8,2,ON
44, 21:34:42:254.872,77682254.872,39.579,0,0,45,no,7,2,ON
45, 21:34:42:294.412,77682294.412,39.540,0,0,46,no,5,2,ON
46, 21:34:42:333.958,77682333.958,39.546,0,0,47,no,4,1,ON
47, 21:34:42:373.353,77682373.353,39.395,0,0,48,no,3,0,ON
48, 21:34:42:413.501,77682413.501,40.148,0,0,49,no,3,0,ON
49, 21:34:42:452.421,77682452.421,38.920,0,0,50,no,3,0,ON
50, 21:34:42:492.054,77682492.054,39.633,0,0,51,no,4,0,ON
