FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 21:47:41:468.682,78461468.682,39.153,0,0,1,no,1,1,ON
1, 21:47:41:508.467,78461508.467,39.785,0,0,2,no,0,1,ON
2, 21:47:41:547.985,78461547.985,39.518,0,0,3,no,0,1,ON
3, 21:47:41:587.253,78461587.253,39.268,0,0,4,no,0,1,ON
4, 21:47:41:626.675,78461626.675,39.422,0,0,5,no,0,1,ON
5, 21:47:41:666.305,78461666.305,39.629,0,0,6,no,1,0,ON
6, 21:47:41:706.035,78461706.035,39.730,0,0,7,no,3,2,ON
7, 21:47:41:745.355,78461745.355,39.320,0,0,8,no,4,3,ON
8, 21:47:41:784.734,78461784.734,39.379,0,0,9,no,4,2,ON
9, 21:47:41:824.327,78461824.327,39.593,0,0,10,no,1,2,ON
10, 21:47:41:863.886,78461863.886,39.560,0,0,11,no,0,0,ON
11, 21:47:41:903.983,78461903.983,40.097,0,0,12,no,0,0,ON
12, 21:47:41:942.911,78461942.911,38.928,0,0,13,no,-1,0,ON
13, 21:47:41:982.513,78461982.513,39.602,0,0,14,no,-1,-1,ON
14, 21:47:42:21.832,78462021.832,39.319,0,0,15,no,0,0,ON
15, 21:47:42:61.556,78462061.556,39.724,0,0,16,no,0,-1,ON
16, 21:47:42:100.627,78462100.627,39.071,0,0,17,no,2,1,ON
17, 21:47:42:140.515,78462140.515,39.888,0,0,18,no,4,2,ON
18, 21:47:42:180.189,78462180.189,39.674,0,0,19,no,4,2,ON
19, 21:47:42:219.262,78462219.262,39.074,0,0,20,no,3,1,ON
20, 21:47:42:258.982,78462258.982,39.719,0,0,21,no,1,0,ON
21, 21:47:42:298.423,78462298.423,39.441,0,0,22,no,-1,-1,ON
22, 21:47:42:337.806,78462337.806,39.384,0,0,23,no,-2,-1,ON
23, 21:47:42:377.371,78462377.371,39.565,0,0,24,no,-2,-1,ON
24, 21:47:42:416.745,78462416.745,39.374,0,0,25,no,-1,0,ON
25, 21:47:42:456.318,78462456.318,39.573,0,0,26,no,1,-1,ON
26, 21:47:42:495.914,78462495.914,39.596,0,0,27,no,2,0,ON
27, 21:47:42:535.076,78462535.076,39.161,0,0,28,no,4,1,ON
28, 21:47:42:574.522,78462574.522,39.446,0,0,29,no,4,2,ON
29, 21:47:42:614.259,78462614.259,39.738,0,0,30,no,2,2,ON
30, 21:47:42:653.695,78462653.695,39.435,0,0,31,no,0,0,ON
31, 21:47:42:693.303,78462693.303,39.608,0,0,32,no,-1,-1,ON
32, 21:47:42:732.677,78462732.677,39.374,0,0,33,no,-1,-1,ON
33, 21:47:42:772.385,78462772.385,39.708,0,0,34,no,-1,-1,ON
34, 21:47:42:812.555,78462812.555,40.169,0,0,35,no,-1,-1,ON
35, 21:47:42:851.424,78462851.424,38.869,0,0,36,no,-1,-1,ON
36, 21:47:42:891.519,78462891.519,40.095,0,0,37,no,0,-1,ON
37, 21:47:42:930.764,78462930.764,39.245,0,0,38,no,3,1,ON
38, 21:47:42:969.880,78462969.880,39.116,0,0,39,no,3,2,ON
39, 21:47:43:10.038,78463010.038,40.158,0,0,40,no,3,1,ON
40, 21:47:43:48.691,78463048.691,38.653,0,0,41,no,1,0,ON
41, 21:47:43:88.309,78463088.309,39.618,0,0,42,no,-1,0,ON
42, 21:47:43:127.701,78463127.701,39.391,0,0,43,no,-1,-1,ON
43, 21:47:43:167.512,78463167.512,39.811,0,0,44,no,-2,-1,ON
44, 21:47:43:206.646,78463206.646,39.134,0,0,45,no,-1,-1,ON
45, 21:47:43:246.229,78463246.229,39.583,0,0,46,no,-1,-1,ON
46, 21:47:43:286.073,78463286.073,39.844,0,0,47,no,0,-1,ON
47, 21:47:43:325.511,78463325.511,39.438,0,0,48,no,2,1,ON
48, 21:47:43:364.961,78463364.961,39.450,0,0,49,no,3,3,ON
49, 21:47:43:404.354,78463404.354,39.393,0,0,50,no,3,3,ON
50, 21:47:43:443.878,78463443.878,39.525,0,0,51,no,2,3,ON
51, 21:47:43:483.391,78463483.391,39.512,0,0,52,no,1,2,ON
52, 21:47:43:523.014,78463523.014,39.623,0,0,53,no,0,2,ON
53, 21:47:43:562.693,78463562.693,39.678,0,0,54,no,0,3,ON
54, 21:47:43:601.892,78463601.892,39.199,0,0,55,no,0,4,ON
55, 21:47:43:641.479,78463641.479,39.588,0,0,56,no,0,5,ON
56, 21:47:43:681.126,78463681.126,39.646,0,0,57,no,3,5,ON
57, 21:47:43:720.488,78463720.488,39.363,0,0,58,no,4,7,ON
58, 21:47:43:759.897,78463759.897,39.409,0,0,59,no,7,9,ON
59, 21:47:43:799.315,78463799.315,39.417,0,0,60,no,7,10,ON
60, 21:47:43:838.997,78463838.997,39.682,0,0,61,no,6,11,ON
61, 21:47:43:878.397,78463878.397,39.401,0,0,62,no,5,11,ON
62, 21:47:43:918.543,78463918.543,40.145,0,0,63,no,4,11,ON
63, 21:47:43:957.704,78463957.704,39.162,0,0,64,no,4,11,ON
64, 21:47:43:997.023,78463997.023,39.319,0,0,65,no,4,12,ON
65, 21:47:44:37.622,78464037.622,40.599,0,0,66,no,5,13,ON
66, 21:47:44:76.313,78464076.313,38.691,0,0,67,no,6,14,ON
67, 21:47:44:115.913,78464115.913,39.600,0,0,68,no,8,15,ON
68, 21:47:44:154.929,78464154.929,39.016,0,0,69,no,10,16,ON
69, 21:47:44:194.555,78464194.555,39.625,0,0,70,no,11,16,ON
70, 21:47:44:234.116,78464234.116,39.561,0,0,71,no,10,15,ON
71, 21:47:44:273.607,78464273.607,39.491,0,0,72,no,8,12,ON
72, 21:47:44:313.088,78464313.088,39.481,0,0,73,no,5,10,ON
73, 21:47:44:352.601,78464352.601,39.513,0,0,74,no,4,8,ON
74, 21:47:44:392.609,78464392.609,40.008,0,0,75,no,3,7,ON
75, 21:47:44:431.800,78464431.800,39.191,0,0,76,no,3,7,ON
76, 21:47:44:470.680,78464470.680,38.881,0,0,77,no,4,6,ON
77, 21:47:44:510.206,78464510.206,39.526,0,0,78,no,5,5,ON
78, 21:47:44:549.760,78464549.760,39.554,0,0,79,no,6,6,ON
79, 21:47:44:589.143,78464589.143,39.383,0,0,80,no,6,6,ON
80, 21:47:44:628.685,78464628.685,39.542,0,0,81,no,5,6,ON
81, 21:47:44:668.197,78464668.197,39.512,0,0,82,no,3,5,ON
82, 21:47:44:707.624,78464707.624,39.427,0,0,83,no,2,4,ON
83, 21:47:44:747.251,78464747.251,39.628,0,0,84,no,2,3,ON
84, 21:47:44:787.778,78464787.778,40.527,0,0,85,no,2,2,ON
85, 21:47:44:827.341,78464827.341,39.563,0,0,86,no,2,2,ON
86, 21:47:44:866.064,78464866.064,38.723,0,0,87,no,2,2,ON
87, 21:47:44:905.388,78464905.388,39.324,0,0,88,no,2,2,ON
88, 21:47:44:944.855,78464944.855,39.466,0,0,89,no,2,3,ON
89, 21:47:44:984.362,78464984.362,39.507,0,0,90,no,4,4,ON
90, 21:47:45:24.837,78465024.837,40.475,0,0,91,no,4,4,ON
91, 21:47:45:64.306,78465064.306,39.469,0,0,92,no,4,3,ON
92, 21:47:45:102.903,78465102.903,38.597,0,0,93,no,2,2,ON
93, 21:47:45:142.558,78465142.558,39.655,0,0,94,no,1,1,ON
94, 21:47:45:182.193,78465182.193,39.635,0,0,95,no,0,1,ON
95, 21:47:45:221.567,78465221.567,39.375,0,0,96,no,0,1,ON
96, 21:47:45:261.031,78465261.031,39.464,0,0,97,no,0,1,ON
97, 21:47:45:300.626,78465300.626,39.595,0,0,98,no,0,1,ON
98, 21:47:45:340.197,78465340.197,39.571,0,0,99,no,1,1,ON
99, 21:47:45:379.319,78465379.319,39.122,0,0,100,no,3,2,ON
100, 21:47:45:418.949,78465418.949,39.629,0,0,101,no,4,3,ON
101, 21:47:45:458.198,78465458.198,39.250,0,0,102,no,3,3,ON
102, 21:47:45:497.957,78465497.957,39.759,0,0,103,no,2,2,ON
103, 21:47:45:537.543,78465537.543,39.585,0,0,104,no,1,0,ON
104, 21:47:45:577.043,78465577.043,39.501,0,0,105,no,-1,0,ON
105, 21:47:45:616.298,78465616.298,39.254,0,0,106,no,-1,0,ON
106, 21:47:45:656.801,78465656.801,40.503,0,0,107,no,-1,0,ON
107, 21:47:45:695.389,78465695.389,38.588,0,0,108,no,-1,0,ON
108, 21:47:45:734.978,78465734.978,39.590,0,0,109,no,1,-1,ON
109, 21:47:45:774.366,78465774.366,39.388,0,0,110,no,3,1,ON
110, 21:47:45:814.694,78465814.694,40.327,0,0,111,no,4,2,ON
111, 21:47:45:853.306,78465853.306,38.612,0,0,112,no,4,2,ON
112, 21:47:45:892.591,78465892.591,39.285,0,0,113,no,1,2,ON
113, 21:47:45:932.317,78465932.317,39.726,0,0,114,no,0,1,ON
114, 21:47:45:971.654,78465971.654,39.337,0,0,115,no,-1,0,ON
115, 21:47:46:11.211,78466011.211,39.556,0,0,116,no,-1,0,ON
116, 21:47:46:51.014,78466051.014,39.803,0,0,117,no,-1,-1,ON
117, 21:47:46:90.230,78466090.230,39.216,0,0,118,no,0,0,ON
