FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 21:12:01:798.763,76321798.763,39.394,0,0,1,no,3,-8,ON
1, 21:12:01:837.990,76321837.990,39.227,0,0,2,no,4,-9,ON
2, 21:12:01:877.668,76321877.668,39.678,0,0,3,no,6,-6,ON
3, 21:12:01:916.802,76321916.802,39.134,0,0,4,no,7,-6,ON
4, 21:12:01:956.595,76321956.595,39.793,0,0,5,no,6,-6,ON
5, 21:12:01:997.379,76321997.379,40.784,0,0,6,no,5,-7,ON
6, 21:12:02:35.617,76322035.617,38.238,0,0,7,no,3,-8,ON
7, 21:12:02:75.095,76322075.095,39.478,0,0,8,no,3,-9,ON
8, 21:12:02:114.736,76322114.736,39.641,0,0,9,no,2,-9,ON
9, 21:12:02:155.048,76322155.048,40.312,0,0,10,no,2,-9,ON
10, 21:12:02:194.271,76322194.271,39.223,0,0,11,no,2,-8,ON
11, 21:12:02:233.407,76322233.407,39.136,0,0,12,no,2,-9,ON
12, 21:12:02:272.745,76322272.745,39.339,0,0,13,no,4,-7,ON
13, 21:12:02:312.339,76322312.339,39.594,0,0,14,no,6,-6,ON
14, 21:12:02:352.039,76322352.039,39.700,0,0,15,no,6,-6,ON
15, 21:12:02:391.348,76322391.348,39.309,0,0,16,no,5,-7,ON
16, 21:12:02:431.008,76322431.008,39.660,0,0,17,no,3,-8,ON
17, 21:12:02:470.375,76322470.375,39.367,0,0,18,no,2,-9,ON
18, 21:12:02:509.555,76322509.555,39.180,0,0,19,no,2,-9,ON
19, 21:12:02:549.552,76322549.552,39.997,0,0,20,no,1,-9,ON
20, 21:12:02:588.580,76322588.580,39.028,0,0,21,no,2,-9,ON
21, 21:12:02:628.038,76322628.038,39.458,0,0,22,no,2,-9,ON
22, 21:12:02:667.638,76322667.638,39.600,0,0,23,no,3,-9,ON
23, 21:12:02:707.115,76322707.115,39.477,0,0,24,no,5,-7,ON
24, 21:12:02:746.492,76322746.492,39.377,0,0,25,no,6,-6,ON
25, 21:12:02:786.193,76322786.193,39.701,0,0,26,no,5,-7,ON
26, 21:12:02:825.335,76322825.335,39.142,0,0,27,no,4,-8,ON
27, 21:12:02:864.801,76322864.801,39.466,0,0,28,no,2,-9,ON
28, 21:12:02:904.604,76322904.604,39.803,0,0,29,no,1,-9,ON
29, 21:12:02:943.890,76322943.890,39.285,0,0,30,no,1,-9,ON
30, 21:12:02:983.793,76322983.793,39.903,0,0,31,no,1,-9,ON
31, 21:12:03:22.937,76323022.937,39.144,0,0,32,no,2,-9,ON
32, 21:12:03:62.531,76323062.531,39.594,0,0,33,no,3,-10,ON
33, 21:12:03:101.928,76323101.928,39.397,0,0,34,no,5,-7,ON
34, 21:12:03:141.360,76323141.360,39.432,0,0,35,no,6,-7,ON
35, 21:12:03:181.421,76323181.421,40.061,0,0,36,no,4,-7,ON
36, 21:12:03:220.856,76323220.856,39.435,0,0,37,no,4,-7,ON
37, 21:12:03:260.120,76323260.120,39.264,0,0,38,no,2,-9,ON
38, 21:12:03:299.945,76323299.945,39.825,0,0,39,no,1,-9,ON
39, 21:12:03:338.838,76323338.838,38.894,0,0,40,no,1,-9,ON
40, 21:12:03:378.594,76323378.594,39.756,0,0,41,no,2,-8,ON
41, 21:12:03:417.825,76323417.825,39.231,0,0,42,no,3,-6,ON
42, 21:12:03:457.505,76323457.505,39.680,0,0,43,no,3,-6,ON
43, 21:12:03:496.780,76323496.780,39.274,0,0,44,no,5,-4,ON
44, 21:12:03:536.686,76323536.686,39.906,0,0,45,no,7,-2,ON
45, 21:12:03:576.028,76323576.028,39.343,0,0,46,no,8,-1,ON
46, 21:12:03:615.777,76323615.777,39.749,0,0,47,no,8,-1,ON
47, 21:12:03:655.091,76323655.091,39.313,0,0,48,no,6,-1,ON
48, 21:12:03:694.598,76323694.598,39.507,0,0,49,no,5,-1,ON
49, 21:12:03:734.065,76323734.065,39.467,0,0,50,no,5,-1,ON
50, 21:12:03:774.512,76323774.512,40.447,0,0,51,no,6,0,ON
51, 21:12:03:813.047,76323813.047,38.535,0,0,52,no,7,1,ON
52, 21:12:03:852.552,76323852.552,39.505,0,0,53,no,8,2,ON
53, 21:12:03:892.614,76323892.614,40.062,0,0,54,no,9,3,ON
54, 21:12:03:931.439,76323931.439,38.826,0,0,55,no,12,7,ON
55, 21:12:03:970.964,76323970.964,39.525,0,0,56,no,13,9,ON
56, 21:12:04:10.535,76324010.535,39.571,0,0,57,no,14,9,ON
57, 21:12:04:50.565,76324050.565,40.030,0,0,58,no,13,9,ON
58, 21:12:04:89.514,76324089.514,38.949,0,0,59,no,12,8,ON
59, 21:12:04:128.872,76324128.872,39.358,0,0,60,no,11,6,ON
60, 21:12:04:168.381,76324168.381,39.509,0,0,61,no,11,5,ON
61, 21:12:04:207.971,76324207.971,39.590,0,0,62,no,10,4,ON
62, 21:12:04:247.428,76324247.428,39.457,0,0,63,no,9,3,ON
63, 21:12:04:287.435,76324287.435,40.007,0,0,64,no,9,1,ON
64, 21:12:04:326.106,76324326.106,38.671,0,0,65,no,11,2,ON
65, 21:12:04:365.770,76324365.770,39.664,0,0,66,no,12,2,ON
66, 21:12:04:405.241,76324405.241,39.471,0,0,67,no,12,1,ON
67, 21:12:04:444.866,76324444.866,39.625,0,0,68,no,9,0,ON
68, 21:12:04:484.319,76324484.319,39.453,0,0,69,no,7,-2,ON
69, 21:12:04:524.085,76324524.085,39.766,0,0,70,no,6,-3,ON
70, 21:12:04:563.353,76324563.353,39.268,0,0,71,no,5,-4,ON
71, 21:12:04:604.099,76324604.099,40.746,0,0,72,no,5,-5,ON
72, 21:12:04:642.367,76324642.367,38.268,0,0,73,no,5,-5,ON
73, 21:12:04:682.354,76324682.354,39.987,0,0,74,no,5,-5,ON
74, 21:12:04:721.697,76324721.697,39.342,0,0,75,no,6,-5,ON
75, 21:12:04:761.142,76324761.142,39.445,0,0,76,no,9,-3,ON
76, 21:12:04:800.636,76324800.636,39.494,0,0,77,no,9,-3,ON
77, 21:12:04:840.358,76324840.358,39.722,0,0,78,no,8,-4,ON
78, 21:12:04:879.661,76324879.661,39.303,0,0,79,no,6,-5,ON
79, 21:12:04:919.057,76324919.057,39.396,0,0,80,no,3,-6,ON
80, 21:12:04:958.621,76324958.621,39.564,0,0,81,no,3,-7,ON
81, 21:12:04:998.181,76324998.181,39.561,0,0,82,no,2,-7,ON
82, 21:12:05:37.615,76325037.615,39.434,0,0,83,no,2,-7,ON
83, 21:12:05:77.508,76325077.508,39.892,0,0,84,no,4,-7,ON
84, 21:12:05:116.597,76325116.597,39.089,0,0,85,no,5,-8,ON
85, 21:12:05:156.049,76325156.049,39.452,0,0,86,no,6,-6,ON
86, 21:12:05:195.455,76325195.455,39.406,0,0,87,no,7,-5,ON
87, 21:12:05:235.171,76325235.171,39.716,0,0,88,no,5,-5,ON
88, 21:12:05:274.651,76325274.651,39.480,0,0,89,no,4,-6,ON
89, 21:12:05:314.134,76325314.134,39.484,0,0,90,no,3,-8,ON
90, 21:12:05:353.562,76325353.562,39.428,0,0,91,no,2,-8,ON
91, 21:12:05:392.976,76325392.976,39.413,0,0,92,no,2,-9,ON
92, 21:12:05:432.691,76325432.691,39.716,0,0,93,no,2,-9,ON
