FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 21:24:34:316.629,77074316.629,39.737,0,0,1,no,1,2,ON
1, 21:24:34:355.835,77074355.835,39.206,0,0,2,no,0,1,ON
2, 21:24:34:395.512,77074395.512,39.677,0,0,3,no,-1,0,ON
3, 21:24:34:434.895,77074434.895,39.383,0,0,4,no,-2,-1,ON
4, 21:24:34:475.422,77074475.422,40.527,0,0,5,no,-2,-1,ON
5, 21:24:34:513.620,77074513.620,38.199,0,0,6,no,-2,-1,ON
6, 21:24:34:553.196,77074553.196,39.576,0,0,7,no,-2,-1,ON
7, 21:24:34:592.750,77074592.750,39.554,0,0,8,no,-1,-1,ON
8, 21:24:34:633.289,77074633.289,40.539,0,0,9,no,0,1,ON
9, 21:24:34:671.720,77074671.720,38.431,0,0,10,no,2,2,ON
10, 21:24:34:711.086,77074711.086,39.366,0,0,11,no,1,1,ON
11, 21:24:34:750.810,77074750.810,39.724,0,0,12,no,0,1,ON
12, 21:24:34:790.187,77074790.187,39.377,0,0,13,no,-1,0,ON
13, 21:24:34:829.827,77074829.827,39.640,0,0,14,no,-2,-1,ON
14, 21:24:34:869.216,77074869.216,39.390,0,0,15,no,-2,-1,ON
15, 21:24:34:909.633,77074909.633,40.417,0,0,16,no,-2,-1,ON
16, 21:24:34:948.412,77074948.412,38.778,0,0,17,no,-2,-1,ON
17, 21:24:34:987.860,77074987.860,39.448,0,0,18,no,-2,-1,ON
18, 21:24:35:27.362,77075027.362,39.502,0,0,19,no,-1,0,ON
19, 21:24:35:66.988,77075066.988,39.626,0,0,20,no,1,1,ON
20, 21:24:35:106.187,77075106.187,39.199,0,0,21,no,1,1,ON
21, 21:24:35:145.862,77075145.862,39.675,0,0,22,no,1,1,ON
22, 21:24:35:185.294,77075185.294,39.432,0,0,23,no,-1,-1,ON
23, 21:24:35:225.175,77075225.175,39.881,0,0,24,no,-2,-1,ON
24, 21:24:35:264.687,77075264.687,39.512,0,0,25,no,-3,-2,ON
25, 21:24:35:304.106,77075304.106,39.419,0,0,26,no,-3,-2,ON
26, 21:24:35:343.074,77075343.074,38.969,0,0,27,no,-3,-1,ON
27, 21:24:35:382.666,77075382.666,39.592,0,0,28,no,-2,-1,ON
28, 21:24:35:422.089,77075422.089,39.423,0,0,29,no,-1,-2,ON
29, 21:24:35:461.511,77075461.511,39.421,0,0,30,no,1,0,ON
30, 21:24:35:501.082,77075501.082,39.571,0,0,31,no,2,1,ON
31, 21:24:35:540.759,77075540.759,39.677,0,0,32,no,0,1,ON
32, 21:24:35:580.160,77075580.160,39.401,0,0,33,no,-1,0,ON
33, 21:24:35:619.445,77075619.445,39.285,0,0,34,no,-2,-1,ON
34, 21:24:35:659.459,77075659.459,40.014,0,0,35,no,-3,-2,ON
35, 21:24:35:698.856,77075698.856,39.397,0,0,36,no,-3,-2,ON
36, 21:24:35:738.753,77075738.753,39.897,0,0,37,no,-2,-1,ON
37, 21:24:35:777.844,77075777.844,39.091,0,0,38,no,-2,0,ON
38, 21:24:35:817.491,77075817.491,39.646,0,0,39,no,-1,0,ON
39, 21:24:35:856.985,77075856.985,39.494,0,0,40,no,1,2,ON
40, 21:24:35:897.063,77075897.063,40.079,0,0,41,no,3,4,ON
