FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 21:50:21:397.714,78621397.714,39.176,0,0,1,no,3,2,ON
1, 21:50:21:437.280,78621437.280,39.566,0,0,2,no,5,3,ON
2, 21:50:21:476.703,78621476.703,39.424,0,0,3,no,5,3,ON
3, 21:50:21:517.555,78621517.555,40.852,0,0,4,no,3,3,ON
4, 21:50:21:556.310,78621556.310,38.754,0,0,5,no,2,2,ON
5, 21:50:21:595.680,78621595.680,39.370,0,0,6,no,1,1,ON
6, 21:50:21:634.701,78621634.701,39.022,0,0,7,no,0,1,ON
7, 21:50:21:674.259,78621674.259,39.558,0,0,8,no,0,0,ON
8, 21:50:21:714.014,78621714.014,39.755,0,0,9,no,0,1,ON
9, 21:50:21:754.260,78621754.260,40.246,0,0,10,no,0,1,ON
10, 21:50:21:792.704,78621792.704,38.444,0,0,11,no,1,1,ON
11, 21:50:21:832.530,78621832.530,39.825,0,0,12,no,4,2,ON
12, 21:50:21:871.886,78621871.886,39.357,0,0,13,no,5,3,ON
13, 21:50:21:912.331,78621912.331,40.445,0,0,14,no,4,2,ON
14, 21:50:21:951.388,78621951.388,39.058,0,0,15,no,3,1,ON
15, 21:50:21:990.945,78621990.945,39.556,0,0,16,no,0,1,ON
16, 21:50:22:29.867,78622029.867,38.922,0,0,17,no,0,0,ON
17, 21:50:22:70.531,78622070.531,40.664,0,0,18,no,-1,0,ON
18, 21:50:22:109.354,78622109.354,38.823,0,0,19,no,0,0,ON
19, 21:50:22:148.560,78622148.560,39.206,0,0,20,no,1,0,ON
20, 21:50:22:188.341,78622188.341,39.781,0,0,21,no,2,0,ON
21, 21:50:22:227.288,78622227.288,38.947,0,0,22,no,3,1,ON
22, 21:50:22:266.633,78622266.633,39.345,0,0,23,no,4,2,ON
23, 21:50:22:306.658,78622306.658,40.026,0,0,24,no,3,3,ON
24, 21:50:22:345.600,78622345.600,38.942,0,0,25,no,2,2,ON
25, 21:50:22:385.297,78622385.297,39.697,0,0,26,no,1,1,ON
26, 21:50:22:424.554,78622424.554,39.257,0,0,27,no,0,0,ON
27, 21:50:22:464.109,78622464.109,39.554,0,0,28,no,0,0,ON
28, 21:50:22:503.577,78622503.577,39.468,0,0,29,no,0,0,ON
29, 21:50:22:543.237,78622543.237,39.660,0,0,30,no,0,0,ON
30, 21:50:22:583.379,78622583.379,40.142,0,0,31,no,1,0,ON
31, 21:50:22:622.396,78622622.396,39.017,0,0,32,no,2,1,ON
32, 21:50:22:661.812,78622661.812,39.416,0,0,33,no,4,2,ON
33, 21:50:22:701.350,78622701.350,39.539,0,0,34,no,4,2,ON
34, 21:50:22:740.885,78622740.885,39.535,0,0,35,no,3,2,ON
35, 21:50:22:781.324,78622781.324,40.439,0,0,36,no,1,1,ON
36, 21:50:22:819.601,78622819.601,38.277,0,0,37,no,0,0,ON
37, 21:50:22:859.227,78622859.227,39.626,0,0,38,no,-1,0,ON
38, 21:50:22:899.229,78622899.229,40.003,0,0,39,no,0,-1,ON
39, 21:50:22:938.467,78622938.467,39.238,0,0,40,no,0,0,ON
40, 21:50:22:977.851,78622977.851,39.384,0,0,41,no,0,0,ON
41, 21:50:23:17.358,78623017.358,39.507,0,0,42,no,1,0,ON
42, 21:50:23:56.746,78623056.746,39.388,0,0,43,no,3,2,ON
43, 21:50:23:96.436,78623096.436,39.690,0,0,44,no,4,3,ON
44, 21:50:23:135.662,78623135.662,39.226,0,0,45,no,4,4,ON
45, 21:50:23:175.427,78623175.427,39.765,0,0,46,no,3,3,ON
46, 21:50:23:214.650,78623214.650,39.223,0,0,47,no,1,3,ON
47, 21:50:23:254.480,78623254.480,39.830,0,0,48,no,1,4,ON
48, 21:50:23:294.312,78623294.312,39.832,0,0,49,no,1,4,ON
49, 21:50:23:333.574,78623333.574,39.262,0,0,50,no,1,5,ON
50, 21:50:23:372.844,78623372.844,39.270,0,0,51,no,3,6,ON
51, 21:50:23:412.513,78623412.513,39.669,0,0,52,no,4,6,ON
52, 21:50:23:452.028,78623452.028,39.515,0,0,53,no,6,9,ON
53, 21:50:23:491.816,78623491.816,39.788,0,0,54,no,8,11,ON
54, 21:50:23:530.879,78623530.879,39.063,0,0,55,no,7,12,ON
55, 21:50:23:570.533,78623570.533,39.654,0,0,56,no,6,12,ON
