FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 21:44:47:597.368,78287597.368,39.268,0,0,1,no,-13,5,ON
1, 21:44:47:637.010,78287637.010,39.642,0,0,2,no,-14,3,ON
2, 21:44:47:676.526,78287676.526,39.515,0,0,3,no,-15,2,ON
3, 21:44:47:716.694,78287716.694,40.168,0,0,4,no,-16,2,ON
4, 21:44:47:755.867,78287755.867,39.174,0,0,5,no,-16,2,ON
5, 21:44:47:795.533,78287795.533,39.665,0,0,6,no,-16,2,ON
6, 21:44:47:835.065,78287835.065,39.532,0,0,7,no,-16,2,ON
7, 21:44:47:874.375,78287874.375,39.311,0,0,8,no,-16,2,ON
8, 21:44:47:913.700,78287913.700,39.325,0,0,9,no,-14,3,ON
9, 21:44:47:953.782,78287953.782,40.082,0,0,10,no,-13,4,ON
10, 21:44:47:993.246,78287993.246,39.464,0,0,11,no,-13,4,ON
11, 21:44:48:32.334,78288032.334,39.088,0,0,12,no,-14,3,ON
12, 21:44:48:71.978,78288071.978,39.644,0,0,13,no,-16,2,ON
13, 21:44:48:111.272,78288111.272,39.294,0,0,14,no,-17,1,ON
14, 21:44:48:150.847,78288150.847,39.575,0,0,15,no,-17,1,ON
15, 21:44:48:190.183,78288190.183,39.336,0,0,16,no,-17,1,ON
16, 21:44:48:229.695,78288229.695,39.511,0,0,17,no,-16,1,ON
17, 21:44:48:269.226,78288269.226,39.532,0,0,18,no,-15,1,ON
18, 21:44:48:309.500,78288309.500,40.274,0,0,19,no,-15,2,ON
19, 21:44:48:348.268,78288348.268,38.767,0,0,20,no,-13,3,ON
20, 21:44:48:387.821,78288387.821,39.553,0,0,21,no,-14,4,ON
21, 21:44:48:427.192,78288427.192,39.371,0,0,22,no,-14,3,ON
22, 21:44:48:466.879,78288466.879,39.688,0,0,23,no,-16,2,ON
23, 21:44:48:506.132,78288506.132,39.252,0,0,24,no,-17,1,ON
24, 21:44:48:546.315,78288546.315,40.183,0,0,25,no,-17,1,ON
25, 21:44:48:584.982,78288584.982,38.667,0,0,26,no,-17,1,ON
26, 21:44:48:624.461,78288624.461,39.479,0,0,27,no,-17,1,ON
